Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem_ELMo+CNN+Embeddings_word2vec_cbow_5_2,harem,ELMo+CNN+Embeddings,word2vec,cbow,5,2,0,1,00:00:59,59.0,59.0,0.9319807722687369,0.9382997449843155,0.49061032863849763,0.22686567164179106,0.3102616440897693,225.42801788671693,0.9699583883081295,0.9720897188673501,0.708715596330275,0.7445783132530118,0.72620446533485,72.41946868896484,0.9670694183864915,0.96987617260788,0.7176138369219909,0.6787979966611019,0.6976664378860173,80.5677673681727
harem_ELMo+CNN+Embeddings_word2vec_cbow_5_3,harem,ELMo+CNN+Embeddings,word2vec,cbow,5,3,0,1,00:00:59,59.0,59.0,0.9318679334702444,0.9382207578253706,0.492642731018246,0.2271370420624152,0.3109212481426017,225.37232558407,0.9701613721709124,0.9720897188673501,0.7009132420091322,0.7397590361445782,0.7198124267291409,72.07319730122884,0.9673996247654785,0.9700562851782364,0.7194950911640954,0.6851419031719532,0.7018984094406889,80.24635083720369
harem_ELMo+CNN+Embeddings_word2vec_cbow_5_4,harem,ELMo+CNN+Embeddings,word2vec,cbow,5,4,0,1,00:00:59,59.0,59.0,0.9318340818306967,0.9382094739455215,0.4914756025867137,0.22686567164179106,0.31043445971031697,225.37499809265137,0.9701613721709124,0.9720897188673501,0.7009132420091322,0.7397590361445782,0.7198124267291409,72.08176981608072,0.9673696060037523,0.9700112570356473,0.7190893169877408,0.6854757929883138,0.7018803418802919,80.2637223657572
harem_ELMo+CNN+Embeddings_word2vec_cbow_6_0,harem,ELMo+CNN+Embeddings,word2vec,cbow,6,0,0,1,00:01:00,60.0,60.0,0.9309592448137471,0.9374597252840428,0.4958775029446408,0.22806067172264355,0.31243042671609783,224.36074944396518,0.9657684630738523,0.9676646706586827,0.6628959276018098,0.7181372549019606,0.6894117647058323,79.79501520792643,0.962296435272045,0.9647129455909944,0.6643946770529049,0.6834724540901502,0.6737985516786861,88.18453639408328
harem_ELMo+CNN+Embeddings_word2vec_cbow_6_1,harem,ELMo+CNN+Embeddings,word2vec,cbow,6,1,0,1,00:00:59,59.0,59.0,0.9309479396303205,0.9374484201006161,0.4964580873671783,0.22778981581798483,0.31229112513920676,224.36161950808852,0.9657684630738523,0.9676646706586827,0.6628959276018098,0.7181372549019606,0.6894117647058323,79.68024444580078,0.9623564727954972,0.9647429643527204,0.6640675763482781,0.6824707846410685,0.6731434217025681,88.09279368958383
harem_ELMo+CNN+Embeddings_word2vec_cbow_6_2,harem,ELMo+CNN+Embeddings,word2vec,cbow,6,2,0,1,00:00:59,59.0,59.0,0.9308574981629077,0.9372788423492171,0.49125874125874125,0.22833152762730227,0.31176035502954247,224.5093649252137,0.9669660678642714,0.968562874251497,0.6651583710407238,0.7205882352941174,0.691764705882303,80.18297882080078,0.9621613508442777,0.9646078799249531,0.6626894550145115,0.6861435726210351,0.6742125984251469,88.466614669224
harem_ELMo+CNN+Embeddings_word2vec_cbow_6_3,harem,ELMo+CNN+Embeddings,word2vec,cbow,6,3,0,1,00:00:59,59.0,59.0,0.9309366344468939,0.9373353682663501,0.4921282798833819,0.228602383531961,0.312187904568109,224.51070752784386,0.9666666666666667,0.9683632734530938,0.6628959276018098,0.7181372549019606,0.6894117647058323,80.1584706624349,0.9621613508442777,0.9646228893058162,0.6627944498225234,0.6858096828046745,0.674105677715736,88.47699259811978
harem_ELMo+CNN+Embeddings_word2vec_cbow_6_4,harem,ELMo+CNN+Embeddings,word2vec,cbow,6,4,0,1,00:00:59,59.0,59.0,0.9309705499971737,0.9373918941834831,0.4930151338766007,0.22941495124593717,0.3131238447319345,224.52491916827302,0.9664670658682635,0.9681636726546906,0.6583710407239818,0.7132352941176469,0.6847058823528912,80.24002126057943,0.9621613508442777,0.96459287054409,0.6625806451612903,0.6858096828046745,0.6739950779326819,88.53615515187101
harem_ELMo+CNN+Embeddings_word2vec_cbow_7_0,harem,ELMo+CNN+Embeddings,word2vec,cbow,7,0,0,1,00:00:59,59.0,59.0,0.930304019450041,0.9365960176941346,0.4934742075823493,0.2144786601836845,0.2990020711729948,229.0768066662461,0.973421926910299,0.9762250830564784,0.7388059701492535,0.7462311557788942,0.7424999999999499,76.54833501180013,0.9641425891181988,0.9669943714821764,0.685890834191555,0.6671118530884808,0.6763710223425363,84.71444903679614
harem_ELMo+CNN+Embeddings_word2vec_cbow_7_1,harem,ELMo+CNN+Embeddings,word2vec,cbow,7,1,0,1,00:00:59,59.0,59.0,0.9302252287743548,0.9365397386400729,0.4956359102244389,0.21474878444084278,0.29966076140214404,229.3756664333059,0.9737333887043189,0.9764327242524917,0.7374999999999998,0.7412060301507536,0.7393483709272682,76.61473642985025,0.9642326454033772,0.9671744840525328,0.684156378600823,0.666110183639399,0.675012688208375,84.69071826394999
harem_ELMo+CNN+Embeddings_word2vec_cbow_7_2,harem,ELMo+CNN+Embeddings,word2vec,cbow,7,2,0,1,00:00:59,59.0,59.0,0.9301914613419178,0.9365172270184483,0.49843456480901693,0.21501890869800108,0.3004340441592332,229.41950933257147,0.9742524916943521,0.9769518272425249,0.7381546134663339,0.7437185929648239,0.7409261576970713,76.70159378051758,0.9644727954971858,0.9673846153846154,0.6862812179267875,0.6697829716193656,0.6779317336937656,84.68107137140238
harem_ELMo+CNN+Embeddings_word2vec_cbow_7_3,harem,ELMo+CNN+Embeddings,word2vec,cbow,7,3,0,1,00:00:59,59.0,59.0,0.9302364845851671,0.9365622502616976,0.4962640099626401,0.21528903295515936,0.3003014318010128,229.34243680470024,0.9736295681063123,0.9763289036544851,0.7349999999999998,0.7386934673366832,0.7368421052631076,76.57218004862467,0.9640375234521577,0.9669793621013133,0.6832532601235415,0.6647746243739566,0.6738872905736513,84.63548166347
