Training_ID,Model,Representation,Embedding,Embedding_Type,Domain_Specific,Embedding_Domain,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo+Embeddings_glove_6,datalawyer-ft,ELMo+Embeddings,glove,glove,Não,glove-Não,6,4,5,00:26:43,1603.0,320.6,0.9904241492558172,0.9908294319055272,0.8982022471910113,0.8941834451901566,0.8961883408071248,38.11263121737809,0.9879233814531931,0.9883632582876795,0.8679918450560652,0.8953732912723449,0.8814699792960162,47.58074010093257,0.9861619172839345,0.9867737610164417,0.8649183572488867,0.9089963598543942,0.8864097363082666,51.855476010520505
datalawyer-ft_ELMo+Embeddings_glove_7,datalawyer-ft,ELMo+Embeddings,glove,glove,Não,glove-Não,7,4,5,00:26:41,1601.0,320.2,0.9904241492558172,0.9908294319055272,0.8982022471910113,0.8941834451901566,0.8961883408071248,38.11263121737809,0.9879233814531931,0.9883632582876795,0.8679918450560652,0.8953732912723449,0.8814699792960162,47.58074010093257,0.9861619172839345,0.9867737610164417,0.8649183572488867,0.9089963598543942,0.8864097363082666,51.855476010520505
datalawyer-ft_ELMo+Embeddings_glove_8,datalawyer-ft,ELMo+Embeddings,glove,glove,Não,glove-Não,8,4,5,00:26:34,1594.0,318.8,0.9904241492558172,0.9908294319055272,0.8982022471910113,0.8941834451901566,0.8961883408071248,38.11263121737809,0.9879233814531931,0.9883632582876795,0.8679918450560652,0.8953732912723449,0.8814699792960162,47.58074010093257,0.9861619172839345,0.9867737610164417,0.8649183572488867,0.9089963598543942,0.8864097363082666,51.855476010520505
datalawyer-ft_ELMo+Embeddings_glove_9,datalawyer-ft,ELMo+Embeddings,glove,glove,Não,glove-Não,9,4,5,00:26:41,1601.0,320.2,0.9904241492558172,0.9908294319055272,0.8982022471910113,0.8941834451901566,0.8961883408071248,38.11263121737809,0.9879233814531931,0.9883632582876795,0.8679918450560652,0.8953732912723449,0.8814699792960162,47.58074010093257,0.9861619172839345,0.9867737610164417,0.8649183572488867,0.9089963598543942,0.8864097363082666,51.855476010520505
datalawyer-ft_ELMo+Embeddings_fasttext-lc_jur_skip_5B-jur2vec-nilc_10,datalawyer-ft,ELMo+Embeddings,fasttext,skip,Sim,fasttext-Sim,10,4,5,00:26:32,1592.0,318.4,0.9907875061141779,0.9911760184473482,0.9032910254970234,0.8995525727069351,0.901417922994962,37.94869445484193,0.9873368790072113,0.9878434038469228,0.8665651953323186,0.8980021030494216,0.882003614768863,46.6450372551972,0.9856802530689821,0.9863181327050002,0.8557409224730128,0.906916276651066,0.8805857106790715,52.57376006864152
datalawyer-ft_ELMo+Embeddings_fasttext_cbow_3,datalawyer-ft,ELMo+Embeddings,fasttext,cbow,Não,fasttext-Não,3,4,5,00:26:42,1602.0,320.4,0.9884256865348333,0.9889287960310251,0.8852087114337568,0.8729306487695749,0.8790268078395536,44.757807332961285,0.9862838405246531,0.9867770357633197,0.861648016276704,0.8906414300736067,0.875904860392918,47.74809695189854,0.9856411992137157,0.9863181327050002,0.8573551263001485,0.9001560062402496,0.878234398782294,51.38147592544556
datalawyer-ft_ELMo+Embeddings_glove-lc_jur_5B-jur2vec-nilc_1,datalawyer-ft,ELMo+Embeddings,glove,glove,Sim,glove-Sim,1,4,5,00:26:33,1593.0,318.6,0.9902843966179862,0.9907092446369925,0.8996060776589758,0.8940715883668904,0.8968302945301044,38.54869724785695,0.9871902533957159,0.9876301302302022,0.8669046404895462,0.8937960042060988,0.8801449650530176,46.05023976092069,0.9862660608979783,0.9868779046304854,0.8657086223984143,0.9084763390535622,0.8865770109108864,52.490500027278685
datalawyer-ft_ELMo+Embeddings_wang2vec-lc_jur_cbow_5B-jur2vec-nilc_0,datalawyer-ft,ELMo+Embeddings,wang2vec,cbow,Sim,wang2vec-Sim,0,4,5,00:28:13,1693.0,338.6,0.9900635874502132,0.9904660750471665,0.8972256542738403,0.8935123042505593,0.8953651291822625,38.48499407631452,0.9870702869863105,0.9874968342197518,0.8654434250764526,0.8927444794952681,0.8788819875775898,45.84161027872337,0.9863441686085112,0.9869299764375074,0.8636363636363636,0.9089963598543942,0.8857360020268059,51.41429865135337
datalawyer-ft_ELMo+Embeddings_wang2vec-lc_jur_skip_5B-jur2vec-nilc_2,datalawyer-ft,ELMo+Embeddings,wang2vec,skip,Sim,wang2vec-Sim,2,4,5,00:26:44,1604.0,320.8,0.9903430927258752,0.9907567605338551,0.8984119833314562,0.8922818791946309,0.8953364386328699,38.271422681261285,0.986923661374815,0.9874301862145266,0.8662551440329218,0.8853838065194533,0.8757150286010941,47.22454378739843,0.9857453428277595,0.9865394378848432,0.8614697120158887,0.9022360894435777,0.8813817627634756,52.93622541427612
datalawyer-ft_ELMo+Embeddings_wang2vec_cbow_8,datalawyer-ft,ELMo+Embeddings,wang2vec,cbow,Não,wang2vec-Não,8,4,5,00:26:45,1605.0,321.0,0.9902201104045839,0.9906449584235902,0.8978928491369648,0.8960850111856823,0.8969880192587115,38.17428326020475,0.9872435717998961,0.9877101078364725,0.868474923234391,0.8922187171398528,0.8801867219916514,47.05633291208519,0.9859406121040916,0.9866045276436205,0.864516129032258,0.905876235049402,0.8847130523107676,51.38976495670823
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_10,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,10,3,5,00:26:46,1606.0,321.2,0.9892781776256027,0.9897729019635245,0.8907202528787537,0.8825503355704698,0.8866164737610469,42.575438477953924,0.9874435158155717,0.9877900854427427,0.8707692307692307,0.8927444794952681,0.8816199376946541,53.008583824589564,0.9851074631917414,0.9858104325865369,0.8581453634085213,0.890275611024441,0.8739152628891793,58.82255494819497
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_skip_5B-jur2vec-nilc_10,datalawyer-ft,ELMo+Embeddings,word2vec,skip,Sim,word2vec-Sim,10,4,5,00:26:36,1596.0,319.2,0.9903654531479281,0.9907707357976382,0.8965903992821893,0.8941834451901566,0.8953853046594481,38.01073484538031,0.9877767558416977,0.9882699510803642,0.8754484879548949,0.8980021030494216,0.886581884245992,45.971432164030254,0.9865134019813323,0.9871903354726167,0.8700199203187251,0.9084763390535622,0.8888323581785307,50.98047743203505
datalawyer-ft_ELMo+Embeddings_word2vec_cbow_1,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Não,word2vec-Não,1,4,5,00:26:34,1594.0,318.8,0.9905359513660821,0.9908993082244427,0.9003370786516854,0.8963087248322148,0.8983183856501744,38.3354986417489,0.986897002172725,0.9873102198051212,0.8595873175641671,0.8980021030494216,0.8783749035741336,47.55946020810109,0.9861098454769127,0.9867347071611753,0.8533980582524272,0.9141965678627145,0.8827516947024356,51.921508690096296
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_11,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,11,3,5,00:26:45,1605.0,321.0,0.9892781776256027,0.9897729019635245,0.8907202528787537,0.8825503355704698,0.8866164737610469,42.575438477953924,0.9874435158155717,0.9877900854427427,0.8707692307692307,0.8927444794952681,0.8816199376946541,53.008583824589564,0.9851074631917414,0.9858104325865369,0.8581453634085213,0.890275611024441,0.8739152628891793,58.82255494819497
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_2,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,2,3,5,00:26:50,1610.0,322.0,0.9892781776256027,0.9897729019635245,0.8907202528787537,0.8825503355704698,0.8866164737610469,42.575438477953924,0.9874435158155717,0.9877900854427427,0.8707692307692307,0.8927444794952681,0.8816199376946541,53.008583824589564,0.9851074631917414,0.9858104325865369,0.8581453634085213,0.890275611024441,0.8739152628891793,58.82255494819497
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_3,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,3,3,5,00:26:52,1612.0,322.4,0.9892781776256027,0.9897729019635245,0.8907202528787537,0.8825503355704698,0.8866164737610469,42.575438477953924,0.9874435158155717,0.9877900854427427,0.8707692307692307,0.8927444794952681,0.8816199376946541,53.008583824589564,0.9851074631917414,0.9858104325865369,0.8581453634085213,0.890275611024441,0.8739152628891793,58.82255494819497
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_4,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,4,4,5,00:26:51,1611.0,322.2,0.9891076794074488,0.9895716581650479,0.8890520845102249,0.8802013422818792,0.8846045753470357,42.81329694146016,0.9867237173591394,0.9872035829967609,0.871200412158681,0.8890641430073607,0.8800416341399447,45.44689514951886,0.9860968275251571,0.9867347071611753,0.8589047853971387,0.9053562142485699,0.8815189873417223,50.607747032957256
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_5,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,5,4,5,00:26:46,1606.0,321.2,0.989157990357068,0.9896387394312067,0.8891144952058657,0.88165548098434,0.8853692782925645,42.530298858392435,0.9868570133695899,0.9873235494061663,0.867827868852459,0.8906414300736067,0.8790866632070077,45.69780741997485,0.9863702045120221,0.9869429943892628,0.8647845468053492,0.9079563182527302,0.8858447488583976,52.06832372017627
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_6,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,6,3,5,00:26:32,1592.0,318.4,0.9892781776256027,0.9897729019635245,0.8907202528787537,0.8825503355704698,0.8866164737610469,42.575438477953924,0.9874435158155717,0.9877900854427427,0.8707692307692307,0.8927444794952681,0.8816199376946541,53.008583824589564,0.9851074631917414,0.9858104325865369,0.8581453634085213,0.890275611024441,0.8739152628891793,58.82255494819497
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_7,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,7,3,5,00:26:42,1602.0,320.4,0.9892781776256027,0.9897729019635245,0.8907202528787537,0.8825503355704698,0.8866164737610469,42.575438477953924,0.9874435158155717,0.9877900854427427,0.8707692307692307,0.8927444794952681,0.8816199376946541,53.008583824589564,0.9851074631917414,0.9858104325865369,0.8581453634085213,0.890275611024441,0.8739152628891793,58.82255494819497
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_8,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,8,3,5,00:26:36,1596.0,319.2,0.9892781776256027,0.9897729019635245,0.8907202528787537,0.8825503355704698,0.8866164737610469,42.575438477953924,0.9874435158155717,0.9877900854427427,0.8707692307692307,0.8927444794952681,0.8816199376946541,53.008583824589564,0.9851074631917414,0.9858104325865369,0.8581453634085213,0.890275611024441,0.8739152628891793,58.82255494819497
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc_9,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Sim,word2vec-Sim,9,3,5,00:27:48,1668.0,333.6,0.9892781776256027,0.9897729019635245,0.8907202528787537,0.8825503355704698,0.8866164737610469,42.575438477953924,0.9874435158155717,0.9877900854427427,0.8707692307692307,0.8927444794952681,0.8816199376946541,53.008583824589564,0.9851074631917414,0.9858104325865369,0.8581453634085213,0.890275611024441,0.8739152628891793,58.82255494819497
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_skip_5B-jur2vec-nilc_0,datalawyer-ft,ELMo+Embeddings,word2vec,skip,Sim,word2vec-Sim,0,4,5,00:26:38,1598.0,319.6,0.9903542729369017,0.9907595555866117,0.896578799775659,0.8940715883668904,0.8953234388126076,38.011117656699945,0.9877634262406526,0.9882566214793191,0.8758974358974358,0.8980021030494216,0.8868120456905003,45.97538539598573,0.9864092583672885,0.9870861918585729,0.8690890990542558,0.9079563182527302,0.8880976602237547,50.973126816299725
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_skip_5B-jur2vec-nilc_1,datalawyer-ft,ELMo+Embeddings,word2vec,skip,Sim,word2vec-Sim,1,4,5,00:26:39,1599.0,319.8,0.9902201104045839,0.9905890573684578,0.8975566016588209,0.8957494407158837,0.8966521106258598,38.237976701533206,0.9879233814531931,0.9883765878887245,0.8687852383393132,0.8911671924290221,0.8798338956656651,45.382718050254965,0.9863441686085112,0.9870080841480402,0.8655753968253969,0.907436297451898,0.886011678090836,50.87351781017375
datalawyer-ft_ELMo+Embeddings_word2vec_cbow_10,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,Não,word2vec-Não,10,4,5,00:26:51,1611.0,322.2,0.9902396757738803,0.9906421633708337,0.8978331649264624,0.8945190156599553,0.8961730262788765,38.42775178932753,0.9866837285560043,0.9871635941936258,0.8600201409869084,0.8980021030494216,0.8786008230452175,48.12762620314112,0.9858885402970696,0.9864743481260658,0.8568646543330087,0.9152366094643786,0.8850892632637167,52.3236256635414
