Training_ID,Model,Embedding,Domain_Specific,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer_wang2vec-lc_jur_skip_0_0,datalawyer,wang2vec-lc,True,skip,0,0,6,20,01:22:20,4940.0,247.0,0.9960348563788095,0.996219281663516,0.9568627450980393,0.9560816326530612,0.956472029399705,6.6174396954793,0.986979118501119,0.9872195609151608,0.877309682187731,0.8938253012048193,0.885490488623598,28.299556000479335,0.98544270374934,0.985917972187995,0.8443432042520881,0.8714733542319749,0.8576937909756539,38.17595626567972
datalawyer_wang2vec_cbow_0_0,datalawyer,wang2vec,False,cbow,0,0,14,20,01:25:43,5143.0,257.15,0.9963960225613598,0.9965689212657722,0.9570752407377183,0.9573877551020408,0.9572314724126174,5.9294250912180795,0.98801487043853,0.9884032774150591,0.8869760479041916,0.8923192771084337,0.8896396396395897,30.78665645369168,0.98593557472276,0.9865516634395353,0.8483448806774442,0.8636363636363636,0.8559223300970374,41.33936540011702
datalawyer_fasttext-lc_jur_skip_5B-mc10_0_0,datalawyer,fasttext-lc-5B-mc10,True,skip,0,0,11,20,01:26:57,5217.0,260.85,0.9961923863094964,0.9963768115942029,0.9573389996730958,0.9562448979591837,0.9567916360368691,6.42910146500874,0.9889951356650082,0.9893650470712264,0.8896396396396397,0.8923192771084337,0.8909774436089726,30.427471317093946,0.9864812533004753,0.9870093293434254,0.8559322033898306,0.8706896551724138,0.8632478632478133,44.24821840483567
datalawyer_word2vec-lc_jur_cbow_0_0,datalawyer,word2vec-lc,True,cbow,0,0,19,20,01:23:34,5014.0,250.7,0.9937064871593896,0.9939946516667435,0.9293789939374079,0.9260408163265306,0.9277069021916411,9.525421014667327,0.9874784988995136,0.9878484103057318,0.8805637982195845,0.8938253012048193,0.8871449925261085,27.989081152554217,0.9863756380918852,0.9868861116000704,0.8416289592760181,0.8746081504702194,0.8578016910068679,35.45749093746317
datalawyer_fasttext-lc_jur_skip_0_1,datalawyer,fasttext-lc,True,skip,0,1,11,20,01:21:16,4876.0,243.8,0.9959772234773387,0.9961654909554767,0.9544638485392525,0.9547755102040816,0.9546196539340016,6.3256498255330476,0.9886992065400336,0.9891246046571847,0.8948170731707317,0.8840361445783133,0.8893939393938894,30.578501035427227,0.9854955113536349,0.9861468051399401,0.8624213836477987,0.859717868338558,0.8610675039245969,39.527838657642235
datalawyer_word2vec-lc_jur_skip_5B-mc10_0_0,datalawyer,word2vec-lc-5B-mc10,True,skip,0,0,11,20,01:27:16,5236.0,261.8,0.9964267601088109,0.9965996588132233,0.9554067298268539,0.9549387755102041,0.9551726953539144,6.234893703943194,0.9886437198291009,0.989050622375941,0.8961038961038961,0.8832831325301205,0.8896473265073448,30.692035387302266,0.9850026403802148,0.985636331631755,0.8638163103721298,0.8550156739811913,0.8593934619928606,41.265298991367736
datalawyer_word2vec-lc_jur_skip_5B_0_0,datalawyer,word2vec-lc-5B,True,skip,0,0,11,20,01:21:35,4895.0,244.75,0.9959080639955737,0.9960809626999861,0.9549019607843138,0.9541224489795919,0.9545120457329024,6.502447772248755,0.9884032774150591,0.9888101799618991,0.8905660377358491,0.8885542168674698,0.889558989822792,29.777357718040204,0.9849498327759197,0.985706741770815,0.8612212529738303,0.8510971786833855,0.8561292865588779,44.57081204447253
datalawyer_word2vec-lc_jur_skip_0_1,datalawyer,word2vec-lc,True,skip,0,1,11,20,01:22:35,4955.0,247.75,0.9963460740467518,0.9964959195905758,0.9575510204081633,0.9575510204081633,0.9575510204081134,6.144146487941601,0.9881813305713282,0.9886437198291009,0.8849028400597907,0.891566265060241,0.8882220555138285,31.006738268095873,0.9850730505192747,0.985636331631755,0.847457627118644,0.8620689655172413,0.8547008547008046,44.51029376325936
datalawyer_wang2vec-lc_jur_cbow_0_0,datalawyer,wang2vec-lc,True,cbow,0,0,12,20,01:23:25,5005.0,250.25,0.9965420259117524,0.9967072402293021,0.9595300261096605,0.96,0.9597649555210468,5.822889116733607,0.9874969944698245,0.9877189413135554,0.8813936249073387,0.8953313253012049,0.8883078072468683,29.72289438083254,0.9858475620489351,0.9862524203485302,0.8530986993114001,0.8738244514106583,0.8633372048005695,41.29786708437163
datalawyer_word2vec-lc_jur_cbow_5B-mc10_0_1,datalawyer,word2vec-lc-5B-mc10,True,cbow,0,1,14,20,01:25:22,5122.0,256.1,0.9935758525827224,0.9938678592835077,0.9288867091711623,0.9276734693877551,0.9282796928605938,10.025423075014045,0.9891615957978064,0.9896054894852683,0.8882175226586103,0.8855421686746988,0.8868778280542488,26.610512947214062,0.9862876254180603,0.9868861116000704,0.8629600626468285,0.8636363636363636,0.863298080689335,36.71228114489851
datalawyer_word2vec-lc_jur_cbow_0_1,datalawyer,word2vec-lc,True,cbow,0,1,14,20,01:23:41,5021.0,251.05,0.9936142745170363,0.993860174896645,0.9335629921259843,0.9291428571428572,0.9313476802225177,9.597548448896497,0.9876634546026227,0.9880518615791518,0.8835820895522388,0.891566265060241,0.8875562218890055,25.927244482369257,0.98593557472276,0.9865164583700052,0.8373676248108926,0.8675548589341693,0.8521939953810125,35.984898715183654
datalawyer_word2vec-lc_jur_cbow_5B_0_1,datalawyer,word2vec-lc-5B,True,cbow,0,1,14,20,01:21:15,4875.0,243.75,0.9935681681958597,0.9938717014769392,0.926945126945127,0.9239183673469388,0.9254292722812255,9.72579133175176,0.9876449590323118,0.9880888527197736,0.8802660753880266,0.8968373493975904,0.8884744498321023,27.74210550045145,0.9862172152790002,0.9868333039957754,0.8488549618320611,0.8714733542319749,0.860015467904049,34.89802766668385
