,Training_ID,Scenario,Model,Embedding,Batch_Size,ELMo_Dropout,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
17,selective_harem_fasttext_64_0_2_5,selective,harem,fasttext,64,0,2,5,18.0,20.0,00:19:57,1197.0,59.85,0.9988187455986915,0.9988755366756775,0.9848150193263391,0.9829154036924773,0.9838642945800079,5.530463606563966,0.9860059426818748,0.9868685900508003,0.8737060041407866,0.8959660297239913,0.8846960167714383,95.41277408599854,0.9777260787992496,0.9795572232645403,0.8358470712030867,0.7956594323873122,0.8152582962709046,188.38917786220335
18,selective_harem_fasttext_64_0_3_0,selective,harem,fasttext,64,0,3,0,7.0,10.0,00:09:36,576.0,57.6,0.9956426279344706,0.9961042616675111,0.94924965893588,0.942052531816951,0.9456374014677403,18.835009425433714,0.981055900621118,0.9824016563146998,0.8064516129032256,0.8599508599508597,0.8323424494648727,91.0331678390503,0.9777260787992496,0.9793320825515948,0.8113962012662446,0.8130217028380634,0.8122081387591228,134.82562964817262
19,selective_harem_fasttext_64_0_3_1,selective,harem,fasttext,64,0,3,1,7.0,10.0,00:09:27,567.0,56.7,0.9956764060124978,0.9961267803861961,0.9521857923497268,0.9436772271865692,0.9479124167006164,18.406597721042917,0.9821946169772257,0.9834368530020704,0.8247663551401867,0.8673218673218671,0.845508982035878,84.60629653930664,0.9778461538461538,0.9796472795497185,0.8219645293315143,0.8046744574290484,0.8132276024969974,134.62273622908683
20,selective_harem_fasttext_64_0_3_2,selective,harem,fasttext,64,0,3,2,7.0,10.0,00:09:37,577.0,57.7,0.9955412937003885,0.9959916680740866,0.9487388120423108,0.9471974004874086,0.9479674796747468,18.90440534477803,0.9820910973084886,0.9832298136645963,0.8137931034482756,0.8697788697788695,0.8408551068883109,88.63313484191895,0.9776660412757974,0.9793470919324578,0.8098732488325551,0.8106844741235393,0.8102786584347906,132.99378290716209
21,selective_harem_fasttext_64_0_3_3,selective,harem,fasttext,64,0,3,3,12.0,20.0,00:20:23,1223.0,61.15,0.9985700613635085,0.9986939143162754,0.9855939113889643,0.9818575683725969,0.9837221920780835,6.110529372941202,0.9840579710144928,0.9850931677018634,0.8294930875576034,0.8845208845208843,0.8561236623067274,89.06315231323242,0.9780112570356473,0.9797673545966229,0.8190121786197564,0.808347245409015,0.8136447655855659,149.31149216417995
22,selective_harem_fasttext_64_0_3_4,selective,harem,fasttext,64,0,3,4,15.0,20.0,00:18:57,1137.0,56.85,0.998536283285481,0.9986150988008782,0.9821041214750542,0.9807744381261847,0.9814388294268569,6.632245736335641,0.9835403726708074,0.9849896480331263,0.837264150943396,0.872235872235872,0.8543922984355695,109.74634790420532,0.9781163227016886,0.9799174484052533,0.8156123822341858,0.8093489148580968,0.8124685771744096,175.10941948080963
23,selective_harem_fasttext_64_0_3_5,selective,harem,fasttext,64,0,3,5,17.0,20.0,00:19:59,1199.0,59.95,0.9987389517536452,0.9988402859877273,0.9840324763193504,0.9845653939886271,0.9842988630210652,5.474040740461492,0.9843685300207039,0.9857142857142858,0.8516746411483251,0.8746928746928745,0.8630303030302529,112.66479825973511,0.9786116322701689,0.9804727954971857,0.8409818569903948,0.7893155258764608,0.8143300034446624,192.3939960407761
24,selective_harem_wang2vec_64_0_6_1,selective,harem,wang2vec,64,0,6,1,9.0,10.0,00:09:42,582.0,58.2,0.995523147363066,0.995862302865864,0.9469820554649266,0.9433911159263272,0.9451831750338713,20.384436137640655,0.9858283433133732,0.9870259481037924,0.8669950738916253,0.8627450980392154,0.8648648648648146,74.58853459358215,0.977936210131332,0.9796772983114447,0.8352073085031624,0.7936560934891486,0.8139017291559165,147.3839390592755
25,selective_harem_wang2vec_64_0_6_2,selective,harem,wang2vec,64,0,6,2,9.0,10.0,00:09:46,586.0,58.6,0.9949691933751625,0.9954214007122265,0.9426630434782609,0.9395991332611051,0.9411285946825328,21.03847754891239,0.9858283433133732,0.9867265469061877,0.8588807785888075,0.8651960784313724,0.8620268620268119,73.20855379104614,0.9776210131332083,0.9793170731707317,0.8289885297184567,0.7963272120200334,0.8123297002724296,146.60780107750082
26,selective_harem_wang2vec_64_0_6_3,selective,harem,wang2vec,64,0,6,3,16.0,20.0,00:19:18,1158.0,57.9,0.9985981572551015,0.9986772935390876,0.983211481180612,0.983477789815818,0.9833446174677903,6.225526314173171,0.9879241516966067,0.9887225548902195,0.8735083532219569,0.8970588235294115,0.8851269649334443,83.52165460586548,0.9774709193245779,0.9792720450281426,0.8082832331329325,0.8080133555926544,0.8081482718316414,167.83783344052873
