Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem_ELMo+CNN+Embeddings_glove_0_0,harem,ELMo+CNN+Embeddings,glove,No,0,0,13,20,00:24:08,1448.0,72.4,0.9989252608481484,0.9990036272446375,0.9849178561809857,0.9862459546925566,0.985581458024475,2.1454695491815237,0.9777073543874987,0.9805485739263469,0.8398950131233593,0.8163265306122447,0.8279430789132746,76.99908707936605,0.9772157598499062,0.9792420262664165,0.8466257668711656,0.78330550918197,0.8137356919874632,98.65761000255368
harem_ELMo+CNN+Embeddings_glove_1_0,harem,ELMo+CNN+Embeddings,glove,No,1,0,7,20,00:27:31,1651.0,82.55,0.998563884522746,0.998665656485701,0.9844127922601451,0.9854721549636803,0.9849421887603694,2.7916612619005923,0.9894443337980482,0.9903405696076478,0.9005235602094238,0.8981723237597908,0.8993464052287079,29.329303963979086,0.976750469043152,0.9785816135084427,0.80931339225017,0.7949916527545909,0.8020885969344287,66.42317582976143
harem_ELMo+CNN+Embeddings_glove_2_0,harem,ELMo+CNN+Embeddings,glove,No,2,0,16,20,00:24:35,1475.0,73.75,0.9985347902137616,0.9986824470139252,0.9817981246552675,0.9809864976577569,0.9813921433493643,2.86610015423329,0.98629349180485,0.9871561391737755,0.868583162217659,0.8980891719745221,0.8830897703548559,52.891301186879474,0.9780863039399624,0.979812382739212,0.8379515959312522,0.7976627712854758,0.817310981867894,92.267318221758
harem_ELMo+CNN+Embeddings_glove_3_0,harem,ELMo+CNN+Embeddings,glove,No,3,0,14,20,00:22:24,1344.0,67.2,0.9984799864887688,0.9985813207228509,0.9826322930800543,0.9805036555645816,0.9815668202764477,3.2108347196854763,0.9859213250517599,0.9870600414078675,0.8554502369668244,0.8869778869778867,0.8709288299155107,51.46376781463623,0.9779962476547842,0.9796923076923076,0.8241496598639456,0.8090150250417363,0.8165122156697059,90.53045442869079
harem_ELMo+CNN+Embeddings_glove_4_0,harem,ELMo+CNN+Embeddings,glove,No,4,0,13,20,00:27:19,1639.0,81.95,0.9985517085313419,0.9986988006336275,0.9837000814995925,0.9831658973662775,0.9834329168929429,2.937564586859141,0.9882119861317484,0.9891035165923725,0.8923444976076552,0.8944844124700237,0.8934131736526445,33.89258639017741,0.9780262664165104,0.9796322701688556,0.8154050464807437,0.820033388981636,0.8177126685533046,84.1666705473414
harem_ELMo+CNN+Embeddings_glove_5_0,harem,ELMo+CNN+Embeddings,glove,No,5,0,9,20,00:49:29,2969.0,148.45,0.9987700570964321,0.998860328135226,0.9845192829983704,0.9837177747625508,0.9841183656847607,2.90076331466214,0.9856896376738049,0.9870090327818939,0.8571428571428569,0.8674698795180721,0.8622754491017461,45.22737197875976,0.9789718574108818,0.9807579737335835,0.8321823204419889,0.8046744574290484,0.8181972500423877,71.3456790582189
harem_ELMo+CNN+Embeddings_glove_6_0,harem,ELMo+CNN+Embeddings,glove,No,6,0,12,20,00:24:19,1459.0,72.95,0.9987677350065005,0.9988581764739133,0.9848279599024654,0.9845612134344529,0.9846945686034988,2.52793886556999,0.9888223552894212,0.9896207584830339,0.871733966745843,0.8995098039215684,0.8854041013268498,44.54058698018392,0.9783414634146341,0.9799624765478424,0.8218022274721566,0.8130217028380634,0.8173883853641662,82.19026947921176
harem_ELMo+CNN+Embeddings_glove_7_0,harem,ELMo+CNN+Embeddings,glove,No,7,0,19,20,00:33:43,2023.0,101.15,0.9988068840538928,0.9988856747295791,0.9840884573894283,0.9856834143706105,0.9848852901483981,2.919631819115646,0.9851536544850499,0.9869186046511628,0.8746928746928745,0.894472361809045,0.8844720496893909,55.37409642537435,0.9785065666041276,0.980187617260788,0.8236698499317872,0.8063439065108514,0.8149147966930494,102.13784523730008
harem_ELMo+CNN+Embeddings_glove_8_0,harem,ELMo+CNN+Embeddings,glove,No,8,0,12,20,00:21:15,1275.0,63.75,0.9987206535889034,0.9988104322844189,0.9842988630211154,0.9848320693391116,0.9845653939885772,2.6714145758314363,0.9846268816056368,0.9862282481050496,0.881188118811881,0.8725490196078429,0.876847290640344,56.027551142374676,0.9779512195121951,0.9797523452157598,0.8297353760445683,0.7956594323873122,0.8123402079426805,83.13495241920903
harem_ELMo+CNN+Embeddings_glove_9_0,harem,ELMo+CNN+Embeddings,glove,No,9,0,14,20,00:20:53,1253.0,62.65,0.9985496243753753,0.9986629349710492,0.9826511249661155,0.9799945931332793,0.9813210611802424,2.979212171551007,0.9834670318919977,0.9855214243787909,0.8553921568627448,0.8703241895261843,0.8627935723114455,68.3049311041832,0.9779812382739212,0.979782363977486,0.8248429867411026,0.7893155258764608,0.8066882784507264,92.21176633295023
