Training_ID,Scenario,Model,Embedding,Batch_Size,ELMo_Dropout,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
selective_harem_fasttext_64_0_9_5,selective,harem,fasttext,64,0,9,5,16,20,00:22:01,1321.0,66.05,0.9985609554349427,0.9986855970901839,0.9813966028579132,0.9840497431738308,0.9827213822893669,6.235718233371848,0.9824887497554294,0.9845431422422226,0.8352941176470586,0.8852867830423937,0.8595641646488602,137.55610358715057,0.9773358348968105,0.9791219512195122,0.8130653266331658,0.8103505843071787,0.8117056856186792,176.31520836308317
selective_harem_fasttext_64_0_3_2,selective,harem,fasttext,64,0,3,2,19,20,00:22:15,1335.0,66.75,0.9984799864887688,0.9985700613635085,0.982679296346414,0.983211481180612,0.9829453167297821,6.4384987354278564,0.9850931677018634,0.986231884057971,0.8497652582159622,0.8894348894348891,0.8691476590635752,113.95696783065796,0.9787617260787993,0.9806078799249531,0.8296194720603359,0.8080133555926544,0.8186738836264724,190.28242190379018
selective_harem_none_64_0_9_3,selective,harem,none,64,0,9,3,12,15,00:16:31,991.0,66.06666666666666,0.9976204774908501,0.9977677812652261,0.975258292550299,0.9697215463638821,0.9724820387690972,10.080243710261673,0.9816082958325181,0.9837605165329681,0.8472906403940884,0.8578553615960097,0.8525402726145718,126.16868460178375,0.9774108818011257,0.9793020637898686,0.8240997229916898,0.7946577629382304,0.809110997790193,151.7835074730639
selective_harem_word2vec_64_0_2_5,selective,harem,word2vec,64,0,2,5,7,20,00:21:59,1319.0,65.95,0.9987619545217056,0.9987619545217056,0.9853348090758163,0.981262055662717,0.9832942151041886,5.307139987376199,0.9852391450206077,0.98629349180485,0.8591836734693875,0.8938428874734605,0.8761706555670675,77.00839328765869,0.9772908067542214,0.97906191369606,0.8243953732912723,0.7853088480801336,0.8043775649794302,141.07742435527297
selective_harem_word2vec_64_0_3_4,selective,harem,word2vec,64,0,3,4,14,20,00:22:06,1326.0,66.3,0.9985813207228509,0.9987276923943028,0.9847701930921947,0.9805036555645816,0.9826322930800043,6.4498274157296365,0.9836438923395445,0.9849896480331263,0.8271028037383176,0.8697788697788695,0.8479041916167163,108.24988794326782,0.9756397748592871,0.9773958724202627,0.802609568417531,0.8010016694490818,0.8018048128341746,178.4605612844791
selective_harem_word2vec_64_0_6_5,selective,harem,word2vec,64,0,6,5,14,20,00:21:48,1308.0,65.4,0.9988016505567803,0.998892092024193,0.9853658536585366,0.9848320693391116,0.9850988891898714,5.069622656302665,0.9885229540918163,0.9893213572854291,0.869358669833729,0.8970588235294115,0.8829915560916265,83.74084329605103,0.9782363977485928,0.9798724202626642,0.8166779203241054,0.8076794657762938,0.812153768675458,166.4176531017951
selective_harem_none_64_0_4_3,selective,harem,none,64,0,4,3,15,20,00:21:30,1290.0,64.5,0.9982235799954741,0.9983819868748586,0.9787292064357785,0.9744773282650013,0.9765986394557323,7.237183085128443,0.9877166914314017,0.9887072808320951,0.8848039215686272,0.8657074340527575,0.8751515151514649,86.42872524261475,0.9784015009380863,0.9801575984990619,0.8278100444140758,0.8090150250417363,0.8183046268152151,170.25121620466123
selective_harem_word2vec_64_0_8_5,selective,harem,word2vec,64,0,8,5,17,20,00:22:26,1346.0,67.3,0.9989338779907528,0.99898998967545,0.9848197343453511,0.9840195016251354,0.9844194553583027,5.148426699994215,0.9840930927724992,0.9858012170385395,0.8866995073891624,0.8823529411764703,0.8845208845208343,121.74175119400024,0.9775609756097561,0.9792420262664165,0.8169204737732656,0.8060100166944908,0.8114285714285215,182.6600492225503
selective_harem_wang2vec_64_0_0_1,selective,harem,wang2vec,64,0,0,1,14,20,00:22:34,1354.0,67.7,0.9989812368456406,0.9990707984416283,0.9875675675675676,0.9854368932038835,0.9865010799135568,5.409998836802013,0.9785815757840673,0.9809856846246312,0.8132678132678131,0.8443877551020406,0.8285356695869336,125.82816743850708,0.977906191369606,0.9797373358348969,0.8232271325796505,0.8023372287145242,0.81264795400739,167.7280451576665
selective_harem_wang2vec_64_0_3_0,selective,harem,wang2vec,64,0,3,0,19,20,00:22:30,1350.0,67.5,0.9985925800821933,0.9987276923943028,0.9821186670279057,0.9815867858109938,0.9818526543878157,6.637740478586795,0.9839544513457557,0.9851966873706004,0.8302325581395347,0.8771498771498769,0.8530465949820287,117.75402927398682,0.978656660412758,0.9803677298311445,0.8246091094493542,0.810016694490818,0.8172477682330644,176.16292352496453
