Training_ID,Corpus,Fine_Tuning,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo+CNN+Embeddings_glove_glove_4_0,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,4,0,8,10,0:10:58.783734,658.0,65.8,0.9941050011314777,0.9946254808780267,0.9292569234987661,0.9201737713820255,0.924693042291901,54.04182119930492,0.9828628033680039,0.984051510648836,0.8705583756345175,0.8225419664268583,0.8458692971639449,186.25860595703125,0.9783714821763603,0.9803677298311445,0.8300243817485197,0.7956594323873122,0.8124786907602638,247.9234105569345
harem-ft_ELMo+CNN+Embeddings_glove_glove_4_1,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,4,1,8,10,0:10:13.872074,613.0,61.3,0.9938900203665988,0.9943991853360489,0.9271631982475356,0.9193592180287808,0.9232447171096978,55.04391215829288,0.9832590391282813,0.9844477464091135,0.8686868686868684,0.8249400479616305,0.8462484624845746,185.7446994781494,0.9788818011257036,0.9808030018761726,0.8368495077355836,0.7946577629382304,0.8152080835759049,247.96935484144421
harem-ft_ELMo+CNN+Embeddings_glove_glove_4_2,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,4,2,7,10,0:07:40.411741,460.0,46.0,0.9955759221543335,0.9956664403711247,0.9470942982456141,0.9380939451534075,0.9425726367480062,20.200684775167435,0.9832590391282813,0.9848439821693908,0.877551020408163,0.8249400479616305,0.8504326328800487,97.67051935195923,0.9781463414634146,0.9795572232645403,0.8373155305692199,0.7956594323873122,0.8159561718883253,143.8996896203959
harem-ft_ELMo+CNN+Embeddings_glove_glove_4_4,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,4,4,7,10,0:06:37.492440,397.0,39.7,0.9952025345100701,0.9954062004978502,0.9438970990695129,0.9364648384469183,0.9401662804960657,20.758688862644025,0.98345715700842,0.9847449232293215,0.877551020408163,0.8249400479616305,0.8504326328800487,100.46381664276123,0.9776510318949343,0.97906191369606,0.8244037331489803,0.7963272120200334,0.8101222826086457,145.21012234237958
harem-ft_ELMo+CNN+Embeddings_glove_glove_5_0,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,5,0,6,10,0:12:14.294950,734.0,73.4,0.9942565051567331,0.9947868475096477,0.9302325581395349,0.9226594301221167,0.9264305177111216,52.812311817617974,0.9822389120064955,0.9833553232518015,0.8503562945368168,0.8626506024096383,0.8564593301434904,177.5467758178711,0.9755046904315197,0.9774559099437148,0.8150996155190493,0.7786310517529216,0.7964480874316441,249.5043029078731
harem-ft_ELMo+CNN+Embeddings_glove_glove_5_1,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,5,1,6,10,0:09:56.957019,596.0,59.6,0.9942113696373361,0.9947642797499492,0.9303088275485105,0.9237449118046133,0.9270152505446123,52.379755693323474,0.9819344362123211,0.9831523393890186,0.8540669856459328,0.8602409638554215,0.8571428571428069,175.56713485717773,0.9752495309568481,0.977155722326454,0.8154865713289152,0.7806343906510852,0.7976799727055113,249.40231676454897
harem-ft_ELMo+CNN+Embeddings_glove_glove_5_2,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,5,2,7,10,0:07:38.616479,458.0,45.8,0.9959942226535172,0.9962199002505021,0.9539852095316351,0.9451831750339214,0.9495637949835923,18.339308774293357,0.9823404039378869,0.9830508474576272,0.8490566037735847,0.8674698795180721,0.8581644815255756,96.29645383358002,0.9784015009380863,0.9796923076923076,0.8320637119113573,0.8023372287145242,0.8169301376848047,142.93603515625
harem-ft_ELMo+CNN+Embeddings_glove_glove_5_3,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,5,3,6,10,0:10:45.919116,645.0,64.5,0.9942565051567331,0.9947529958701,0.9334616442122629,0.921302578018996,0.9273422562140993,53.3848357481115,0.9818329442809297,0.9831523393890186,0.8561151079136688,0.8602409638554215,0.8581730769230267,180.24699020385742,0.9749793621013133,0.9768555347091933,0.8154279675942233,0.7729549248747913,0.79362358587585,251.3857159084744
harem-ft_ELMo+CNN+Embeddings_glove_glove_5_4,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,5,4,9,10,0:06:38.500227,398.0,39.8,0.995982938773668,0.9961860486109544,0.9537113119693235,0.9449118046132972,0.9492911668483689,18.339426360913176,0.9820359281437125,0.9826448797320613,0.8534278959810873,0.8698795180722889,0.8615751789975632,99.31666254997253,0.9778611632270169,0.97906191369606,0.8274914089347079,0.8040066777963272,0.8155800169347511,148.66351116828199
harem-ft_ELMo+CNN+Embeddings_glove_glove_6_0,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,6,0,9,10,0:12:39.169055,759.0,75.9,0.9941439149850206,0.9946300378723645,0.9300027449903925,0.9176598049837487,0.9237900477163782,52.40232417162727,0.9847305389221557,0.9857285429141717,0.8356807511737087,0.8725490196078429,0.8537170263788466,175.82927703857422,0.9773658536585366,0.9788367729831144,0.8079492317969272,0.8076794657762938,0.8078143262647688,264.3915769788954
harem-ft_ELMo+CNN+Embeddings_glove_glove_6_1,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,6,1,9,10,0:09:19.845510,559.0,55.9,0.9940534735176079,0.9945848171386581,0.9299258037922506,0.9165763813651138,0.923202837266353,52.26892886442297,0.9853293413173653,0.9863273453093813,0.8396226415094338,0.8725490196078429,0.8557692307691807,170.9607753753662,0.97787617260788,0.9792870544090057,0.8079866888519135,0.8106844741235393,0.8093333333332835,261.73808119032117
harem-ft_ELMo+CNN+Embeddings_glove_glove_6_2,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,6,2,7,10,0:07:36.817116,456.0,45.6,0.99597535470013,0.996088406534396,0.9539221064179924,0.9420368364030336,0.9479422185881212,19.319810013272868,0.9862275449101796,0.9869261477045909,0.8544152744630069,0.8774509803921566,0.8657799274485593,77.73808193206787,0.9777410881801125,0.9788217636022514,0.8259207783182766,0.7936560934891486,0.8094670526136056,135.6970500946045
harem-ft_ELMo+CNN+Embeddings_glove_glove_6_3,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,6,3,9,10,0:10:08.337225,608.0,60.8,0.9942230512690068,0.9947204793397773,0.9326182618261826,0.9184723726977249,0.925491266375496,52.39513256970574,0.9841317365269461,0.9852295409181637,0.8286384976525819,0.8651960784313724,0.8465227817745303,172.22597122192383,0.9783114446529081,0.9797073170731707,0.8141474808141475,0.8146911519198664,0.8144192256341289,260.6445499702736
