Modelo,Representação,Vetor,Tipo de Vetor,Domínio Específico,F-Score,Mínimo,Máximo,Desvio Padrão
ELMo Wikipedia,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,Não,86.52%,85.45%,87.22%,0.46%
ELMo Wikipedia,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,Sim,86.52%,85.94%,87.58%,0.42%
ELMo Wikipedia,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,Sim,86.47%,85.79%,87.10%,0.35%
ELMo brWaC,ELMo+Vetor,Word2Vec,Skip-Gram,Sim,86.47%,86.47%,86.47%,0.00%
ELMo Wikipedia,ELMo+Vetor,Wang2Vec,Skip-Gram,Não,86.46%,86.46%,86.46%,0.00%
ELMo Wikipedia,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,Não,86.39%,85.85%,87.32%,0.44%
ELMo Wikipedia,ELMo+CNN+Vetor,GloVe,GloVe,Sim,86.35%,85.75%,87.08%,0.36%
ELMo Wikipedia,ELMo+Vetor,GloVe,GloVe,Sim,86.34%,86.34%,86.34%,0.00%
ELMo Wikipedia,ELMo+Vetor,Word2Vec,CBoW,Não,86.32%,86.32%,86.32%,0.00%
ELMo Wikipedia,ELMo+Vetor,Word2Vec,CBoW,Sim,86.32%,86.32%,86.32%,0.00%
ELMo Wikipedia,ELMo+Vetor,FastText,Skip-Gram,Não,86.31%,86.31%,86.31%,0.00%
ELMo Wikipedia,ELMo+CNN+Vetor,FastText,Skip-Gram,Não,86.31%,85.63%,87.08%,0.42%
ELMo Wikipedia,ELMo+CNN+Vetor,FastText,Skip-Gram,Sim,86.29%,85.73%,86.77%,0.35%
ELMo Wikipedia,ELMo+CNN+Vetor,GloVe,GloVe,Não,86.26%,85.51%,86.82%,0.31%
ELMo Wikipedia,ELMo+CNN+Vetor,Wang2Vec,CBoW,Não,86.22%,85.56%,86.70%,0.38%
ELMo Wikipedia,ELMo+CNN+Vetor,Word2Vec,CBoW,Sim,86.11%,85.18%,86.74%,0.50%
ELMo brWaC,ELMo+Vetor,Wang2Vec,Skip-Gram,Não,86.10%,86.10%,86.10%,0.00%
ELMo brWaC,ELMo+CNN+Vetor,FastText,Skip-Gram,Sim,86.10%,85.87%,86.34%,0.21%
ELMo Wikipedia,ELMo+CNN+Vetor,Word2Vec,CBoW,Não,86.03%,85.56%,86.48%,0.28%
ELMo Wikipedia,ELMo+Vetor,FastText,CBoW,Não,86.02%,85.25%,86.09%,0.24%
ELMo brWaC,ELMo+CNN+Vetor,GloVe,GloVe,Sim,85.95%,85.06%,86.65%,0.51%
ELMo brWaC,ELMo+CNN+Vetor,FastText,Skip-Gram,Não,85.77%,85.13%,86.22%,0.37%
ELMo brWaC,ELMo+Vetor,GloVe,GloVe,Sim,85.76%,85.76%,85.76%,0.00%
ELMo brWaC,ELMo+Vetor,Word2Vec,Skip-Gram,Não,85.70%,85.70%,85.70%,0.00%
ELMo brWaC,ELMo+Vetor,FastText,Skip-Gram,Não,85.68%,85.68%,85.68%,0.00%
ELMo brWaC,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,Não,85.65%,85.40%,86.10%,0.24%
ELMo brWaC,ELMo+Vetor,GloVe,GloVe,Não,85.64%,85.64%,85.64%,0.00%
ELMo brWaC,ELMo+Vetor,Word2Vec,CBoW,Não,85.62%,85.62%,85.62%,0.00%
ELMo brWaC,ELMo+CNN+Vetor,Word2Vec,CBoW,Não,85.56%,84.90%,86.12%,0.42%
ELMo brWaC,ELMo+CNN+Vetor,FastText,CBoW,Sim,85.54%,84.98%,86.02%,0.39%
ELMo brWaC,ELMo+CNN+Vetor,FastText,CBoW,Não,85.48%,84.52%,86.04%,0.51%
ELMo brWaC,ELMo+CNN+Vetor,GloVe,GloVe,Não,85.39%,84.77%,86.03%,0.47%
ELMo Wikipedia,ELMo+Vetor,FastText,CBoW,Sim,85.38%,85.38%,85.38%,0.00%
ELMo brWaC,ELMo+CNN+Vetor,Wang2Vec,CBoW,Não,85.31%,84.45%,85.97%,0.60%
ELMo Wikipedia,ELMo+CNN+Vetor,FastText,CBoW,Não,85.21%,84.55%,85.93%,0.50%
ELMo brWaC,ELMo+Vetor,Wang2Vec,CBoW,Não,85.20%,85.20%,85.20%,0.00%
ELMo brWaC,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,Não,85.15%,84.29%,86.11%,0.69%
ELMo brWaC,ELMo+Vetor,FastText,CBoW,Sim,85.12%,85.12%,85.12%,0.00%
ELMo brWaC,ELMo+CNN,Sem Vetor,Sem Vetor,Não,84.99%,84.62%,85.34%,0.28%
ELMo brWaC,ELMo+Vetor,FastText,CBoW,Não,84.88%,84.88%,84.88%,0.00%
ELMo Wikipedia,ELMo+CNN+Vetor,FastText,CBoW,Sim,84.76%,84.31%,85.80%,0.40%
ELMo Wikipedia,ELMo,Sem Vetor,Sem Vetor,Não,84.56%,84.54%,84.76%,0.06%
ELMo Wikipedia,ELMo+CNN,Sem Vetor,Sem Vetor,Não,84.13%,83.38%,84.96%,0.46%
ELMo brWaC,ELMo,Sem Vetor,Sem Vetor,Não,84.07%,84.07%,84.07%,0.00%
