Training_ID,Model,Representation,Embedding,Embedding_Type,Domain_Specific,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_5B-jur2vec-nilc_0,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec-lc,skip,True,0,11,20,1:20:12.556496,4812.0,240.6,0.9972182519556765,0.9973104645980297,0.9676787463271302,0.9678367346938775,0.9677577340624754,11.169117235222503,0.987996374868219,0.98842177298537,0.8811136192626035,0.8817771084337349,0.8814452389912937,78.11325702996089,0.9873965851082556,0.9879070586164408,0.8642358417377812,0.8730407523510971,0.8686159844054081,89.64682924336401
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec_skip_0,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,skip,False,0,12,20,01:39:50,5990.0,299.5,0.996995404736656,0.9971029861527348,0.9679476696647588,0.9663673469387755,0.967156862745048,5.520687271047012,0.9876819501729336,0.9878484103057318,0.8587731811697575,0.9066265060240963,0.8820512820512322,40.1966762378298,0.9852842809364548,0.985601126562225,0.8303834808259587,0.8824451410658307,0.8556231003039014,50.696964757195836
datalawyer-ft_ELMo+CNN+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+CNN+Embeddings,word2vec-lc,cbow,True,0,11,20,01:18:25,4705.0,235.25,0.9953701569151797,0.9956237416816512,0.942543787853986,0.9400816326530612,0.9413111002124726,8.139614044190333,0.9875709767510681,0.98801487043853,0.881077038145101,0.8870481927710844,0.8840525328329707,32.37176639458229,0.9864108431614153,0.9870269318781905,0.8549382716049383,0.8683385579937304,0.8615863141523606,36.13314012823434
datalawyer-ft_ELMo+CNN+Embeddings_word2vec-lc_jur_skip_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+CNN+Embeddings,word2vec-lc,skip,True,0,12,20,01:16:56,4616.0,230.8,0.9966995558424393,0.9968032950650868,0.9646943445570448,0.9635918367346938,0.9641427754634803,5.555068925772261,0.9878854014463536,0.9881443394307063,0.8712509144111192,0.8968373493975904,0.8838589981446625,40.59608519488368,0.9860059848618201,0.9865340609047702,0.8482074752097636,0.8714733542319749,0.8596830305372519,47.31314277648926
datalawyer-ft_ELMo+CNN+Embeddings_word2vec_cbow_0,datalawyer-ft,ELMo+CNN+Embeddings,word2vec,cbow,False,0,14,20,01:39:43,5983.0,299.15,0.9970799329921466,0.9971951987950881,0.9679686223239091,0.9670204081632653,0.9674942829140304,5.128267982352622,0.9875524811807572,0.9881073482900845,0.8855421686746988,0.8855421686746988,0.885542168674649,41.55189922760273,0.9860411899313501,0.9867276887871853,0.8576982892690513,0.8644200626959248,0.8610460577673192,52.6962743627614
datalawyer-ft_ELMo+CNN+Embeddings_word2vec_skip_0,datalawyer-ft,ELMo+CNN+Embeddings,word2vec,skip,False,0,3,20,01:39:14,5954.0,297.7,0.9972989380177356,0.9973949928535202,0.9721949623814197,0.9704489795918367,0.9713211863713855,4.880159925779403,0.9874784988995136,0.9878669058760426,0.8875379939209727,0.8795180722891566,0.8835098335854266,32.10190333991215,0.9855307164231649,0.9861820102094702,0.8628072957969866,0.8526645768025078,0.8577059519116569,39.27705047870504
datalawyer-ft_ELMo+Embeddings_fasttext-lc_jur_cbow_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+Embeddings,fasttext-lc,cbow,True,0,17,20,01:10:48,4248.0,212.4,0.9927497809949745,0.9931071049840933,0.9201715322447633,0.9108571428571428,0.9154906465375279,11.350137998504612,0.9877374368838663,0.9881258438603955,0.8748159057437408,0.8945783132530121,0.8845867460907915,28.348829861344964,0.9862876254180603,0.9869213166696004,0.8498845265588915,0.8652037617554859,0.8574757281552898,30.982847460385027
datalawyer-ft_ELMo+Embeddings_fasttext-lc_jur_skip_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+Embeddings,fasttext-lc,skip,True,0,15,20,01:10:54,4254.0,212.7,0.9968263482256751,0.9969185608680283,0.9672721322205858,0.9650612244897959,0.9661654135337847,5.517806379619395,0.9873305343370263,0.9876819501729336,0.8809171597633136,0.8968373493975904,0.8888059701492039,44.33849296076544,0.9860939975356451,0.9866748811828904,0.844563552833078,0.8644200626959248,0.8543764523624596,52.682616233825684
datalawyer-ft_ELMo+Embeddings_fasttext_cbow_0,datalawyer-ft,ELMo+Embeddings,fasttext,cbow,False,0,18,20,01:34:30,5670.0,283.5,0.9940868643090968,0.9943558178492938,0.9340983606557377,0.9302857142857143,0.9321881390592547,9.467897366649881,0.9879778792979081,0.9883107995635045,0.8858001502629602,0.8878012048192772,0.8867995487024698,29.689506415663093,0.9865516634395353,0.9870093293434254,0.8532818532818532,0.8659874608150471,0.8595877090625716,34.74876379144603
datalawyer-ft_ELMo+Embeddings_fasttext_skip_0,datalawyer-ft,ELMo+Embeddings,fasttext,skip,False,0,17,20,01:41:36,6096.0,304.8,0.997064564218421,0.9971913566016568,0.9669434945448624,0.969469387755102,0.9682047937387401,5.40878381123732,0.9866831893761444,0.9868681450792535,0.864321608040201,0.9066265060240963,0.8849687614846983,46.434604965407274,0.9854074986798099,0.98593557472276,0.8265682656826568,0.877742946708464,0.8513873052070956,52.39735330384353
datalawyer-ft_ELMo+Embeddings_glove-lc_jur_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+Embeddings,glove-lc,No,True,0,11,20,01:11:11,4271.0,213.55,0.9968263482256751,0.996964667189205,0.9648175421371298,0.9626122448979592,0.9637136319058016,5.642149402893997,0.9867941627980099,0.9872380564854717,0.8721359940872137,0.8885542168674698,0.8802685565087155,37.45632723282124,0.9870093293434254,0.9876430205949657,0.8567026194144838,0.8714733542319749,0.8640248640248139,45.5632366805241
datalawyer-ft_ELMo+Embeddings_glove_0,datalawyer-ft,ELMo+Embeddings,glove,No,False,0,13,20,02:04:40,7480.0,374.0,0.9970415110578327,0.997164461247637,0.9676258992805755,0.966204081632653,0.9669144677721908,5.157102574666488,0.9864612425324135,0.9866831893761444,0.860931899641577,0.9043674698795181,0.8821153139918707,44.00784687338204,0.9858475620489351,0.9862700228832952,0.8274074074074074,0.8753918495297806,0.8507235338918008,49.809329000012625
datalawyer-ft_ELMo+Embeddings_wang2vec-lc_jur_cbow_5B-jur2vec-nilc_0,datalawyer-ft,ELMo+Embeddings,wang2vec-lc,cbow,True,0,13,20,1:13:34.897380,4414.0,220.7,0.997064564218421,0.997164461247637,0.9666993143976493,0.9668571428571429,0.9667782221858942,11.596115945290554,0.9876819501729336,0.9879778792979081,0.8631426502534395,0.8975903614457831,0.8800295311922719,90.77590656280518,0.9868157014610104,0.9871677521563105,0.8383458646616542,0.8738244514106583,0.8557175748272717,104.04901201971646
datalawyer-ft_ELMo+Embeddings_wang2vec-lc_jur_skip_5B-jur2vec-nilc_0,datalawyer-ft,ELMo+Embeddings,wang2vec-lc,skip,True,0,12,20,1:13:19.694670,4399.0,219.95,0.9970453532512641,0.9971606190542056,0.9650726293455199,0.9653877551020408,0.9652301665033781,12.50976689365309,0.9879593837275973,0.9882553128525718,0.8741672834937083,0.8893072289156626,0.88167226577076,88.12385378212764,0.9871501496215455,0.9875902129906706,0.8520213577421816,0.8753918495297806,0.8635485117896678,95.98317771122373
datalawyer-ft_ELMo+Embeddings_wang2vec_cbow_0,datalawyer-ft,ELMo+Embeddings,wang2vec,cbow,False,0,13,20,01:43:34,6214.0,310.7,0.997252831696559,0.9973373599520494,0.9717366443391603,0.9711020408163266,0.9714192389351125,5.12150515138938,0.9878484103057318,0.9881628350010172,0.8708971553610503,0.8990963855421686,0.8847721378287754,42.17876348824337,0.9868333039957754,0.9873789825734905,0.8470319634703196,0.872257053291536,0.8594594594594094,49.86101028837007
datalawyer-ft_ELMo+Embeddings_wang2vec_skip_0,datalawyer-ft,ELMo+Embeddings,wang2vec,skip,False,0,16,20,01:26:48,5208.0,260.4,0.9972566738899903,0.9973642553060691,0.9694244604316546,0.968,0.9687117065598716,5.2490391299657775,0.9881258438603955,0.9885697375478573,0.8819599109131403,0.8945783132530121,0.8882242990653706,40.47736755732832,0.9854955113536349,0.9860587924661152,0.838044308632544,0.859717868338558,0.8487427466150371,49.863446202771414
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+Embeddings,word2vec-lc,cbow,True,0,9,20,01:11:04,4264.0,213.2,0.995124256535571,0.9953701569151797,0.9448456992777413,0.9397551020408164,0.9422935254153549,8.414399706349602,0.9865722159542789,0.9868311539386317,0.8705882352941177,0.891566265060241,0.8809523809523311,36.65377130179569,0.9869037141348355,0.9873261749691956,0.8475609756097561,0.8714733542319749,0.8593508500772298,39.604265048586086
datalawyer-ft_ELMo+Embeddings_word2vec-lc_jur_skip_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+Embeddings,word2vec-lc,skip,True,0,16,20,01:11:07,4267.0,213.35,0.9968916655140087,0.9969992469300875,0.9636689475399153,0.9657142857142857,0.9646905324960767,5.702356675715354,0.9878299147354209,0.98821832171195,0.8818722139673105,0.8938253012048193,0.8878085265519321,40.34004754855715,0.9863052279528252,0.9868509065305404,0.8465080583269379,0.8644200626959248,0.8553702985652855,49.42041615782113
datalawyer-ft_ELMo+Embeddings_word2vec_cbow_0,datalawyer-ft,ELMo+Embeddings,word2vec,cbow,False,0,17,20,01:28:30,5310.0,265.5,0.9971990409885195,0.9973066224045983,0.9686428221460068,0.9683265306122449,0.9684846505551427,5.117664146979384,0.9874600033292027,0.9877929235947991,0.8723247232472324,0.8900602409638554,0.8811032426387871,46.694794252001,0.9862524203485302,0.9867452913219503,0.8442249240121581,0.8706896551724138,0.8572530864197031,51.99069957075448
datalawyer-ft_ELMo+Embeddings_word2vec_skip_0,datalawyer-ft,ELMo+Embeddings,word2vec,skip,False,0,3,20,01:28:50,5330.0,266.5,0.9971068283461663,0.9972182519556765,0.9657198824681684,0.9658775510204082,0.9657987103093125,5.273994841710819,0.9872380564854717,0.9874784988995136,0.8767631774313289,0.8893072289156626,0.8829906542055574,35.58582074888821,0.9866572786481254,0.9871325470867804,0.8591331269349846,0.8699059561128527,0.8644859813083613,38.558724074528136
datalawyer_ELMo+Embeddings_wang2vec-lc_jur_cbow_5B-jur2vec-nilc_0,datalawyer,ELMo+Embeddings,wang2vec-lc,cbow,True,0,17,20,01:12:38,4358.0,217.9,0.996138595601457,0.9962730723715555,0.9553527782304058,0.9572244897959183,0.9562877181535955,6.884140806918709,0.9885142508369246,0.9889396489540755,0.8814317673378076,0.8900602409638554,0.8857249906331459,37.303543419673524,0.98593557472276,0.9865516634395353,0.8499234303215927,0.8699059561128527,0.8597986057319408,46.795142749260215
datalawyer_ELMo+Embeddings_wang2vec-lc_jur_skip_5B-jur2vec-nilc_0,datalawyer,ELMo+Embeddings,wang2vec-lc,skip,True,0,10,20,01:10:46,4246.0,212.3,0.9962346504372416,0.9964152335285168,0.9575163398692811,0.9567346938775511,0.9571253572886393,6.716879407981775,0.9873305343370263,0.9875339856104463,0.8821349147516679,0.8960843373493976,0.8890549122151163,30.489024852884228,0.9862524203485302,0.9866220735785953,0.8441754916792739,0.8746081504702194,0.8591224018475251,37.85530009762994
datalawyer_ELMo_0,datalawyer,ELMo,No,No,False,0,9,20,01:19:11,4751.0,237.55,0.9955046336852783,0.9957159543240045,0.9471538085141086,0.9480816326530612,0.9476174934725348,7.205635449529464,0.9866461982355226,0.9869236317901863,0.8766519823788547,0.8990963855421686,0.887732342007385,31.17988029841719,0.9853370885407499,0.98593557472276,0.8367501898253606,0.8636363636363636,0.8499807173158004,38.57670956644519
datalawyer_ELMo+CNN_0,datalawyer,ELMo+CNN,No,No,False,0,15,20,01:28:21,5301.0,265.05,0.9955468978130235,0.9957351652911615,0.9505628976994616,0.9511836734693877,0.9508731842663121,7.146721745549093,0.9889211533837646,0.9892910647899827,0.8865671641791045,0.8945783132530121,0.8905547226386308,27.061418204471984,0.9867628938567153,0.9872733673649006,0.8551617873651772,0.8699059561128527,0.8624708624708125,36.932742250376734
datalawyer_ELMo+CNN+Embeddings_fasttext-lc_jur_cbow_5B-jur2vec-nilc-2_0,datalawyer,ELMo+CNN+Embeddings,fasttext-lc,cbow,True,0,12,20,01:23:00,4980.0,249.0,0.9915779119984016,0.9919851845021286,0.913608688497614,0.9064489795918368,0.9100147516800027,11.742170916052322,0.9878669058760426,0.9881628350010172,0.8649819494584837,0.9021084337349398,0.8831551787688405,24.297023978726617,0.9863756380918852,0.9868333039957754,0.8367041198501872,0.8753918495297806,0.8556108770585483,31.650718253234338
datalawyer_ELMo+CNN+Embeddings_fasttext-lc_jur_skip_5B-jur2vec-nilc-2_0,datalawyer,ELMo+CNN+Embeddings,fasttext-lc,skip,True,0,14,20,01:24:16,5056.0,252.8,0.996288441145281,0.996476708623419,0.9571382007822686,0.9588571428571429,0.9579969007421408,6.031270818056271,0.9885512419775464,0.9891431002274955,0.8955453149001537,0.8780120481927711,0.8866920152090755,29.5073058851834,0.9852138707973949,0.9860235873965851,0.8645418326693227,0.8503134796238244,0.857368629000345,42.70788893206366
datalawyer_ELMo+CNN+Embeddings_fasttext_cbow_0,datalawyer,ELMo+CNN+Embeddings,fasttext,cbow,False,0,18,20,01:24:42,5082.0,254.1,0.9928035717030138,0.9931685800789954,0.9211563731931669,0.9155918367346939,0.9183656759190526,10.21648042605042,0.9881258438603955,0.9884032774150591,0.8804751299183371,0.8930722891566265,0.8867289719625668,21.845847335355035,0.9859883823270551,0.9864636507657103,0.8443432042520881,0.8714733542319749,0.8576937909756539,30.54150079036581
datalawyer_ELMo+CNN+Embeddings_fasttext_skip_0,datalawyer,ELMo+CNN+Embeddings,fasttext,skip,False,0,17,20,01:23:49,5029.0,251.45,0.9963499162401832,0.9964959195905758,0.960595160235448,0.9591836734693877,0.9598888979658025,6.060905568927142,0.9887546932509664,0.9891431002274955,0.8812684365781711,0.8998493975903614,0.8904619970193242,34.289364617446374,0.98568913923605,0.9862348178137652,0.8356164383561644,0.8605015673981191,0.8478764478763979,47.21797747447573
datalawyer_ELMo+CNN+Embeddings_glove-lc_jur_5B-jur2vec-nilc-2_0,datalawyer,ELMo+CNN+Embeddings,glove-lc,No,True,0,18,20,01:24:46,5086.0,254.3,0.9961232268277315,0.9962999677255752,0.9523187459177008,0.9521632653061225,0.9522409992651961,6.614633394453358,0.9882923039931937,0.9885697375478573,0.8775811209439528,0.8960843373493976,0.8867362146050172,32.13297753498472,0.9865692659743003,0.9870797394824855,0.8426626323751891,0.8730407523510971,0.8575827559660778,38.80838242892561
datalawyer_ELMo+CNN+Embeddings_glove_0,datalawyer,ELMo+CNN+Embeddings,glove,No,False,0,8,20,01:25:33,5133.0,256.65,0.9962961255321438,0.9964421288825365,0.9596537079385822,0.9591836734693877,0.9594186331345952,5.900657261615255,0.9876079678916899,0.9879778792979081,0.8837209302325582,0.8870481927710844,0.8853814355504951,30.683137219527673,0.9858475620489351,0.9864108431614153,0.8514774494556765,0.8581504702194357,0.8548009367680998,39.83359318766101
datalawyer_ELMo+CNN+Embeddings_wang2vec-lc_jur_cbow_5B-jur2vec-nilc_0,datalawyer,ELMo+CNN+Embeddings,wang2vec-lc,cbow,True,0,15,20,01:19:30,4770.0,238.5,0.9965727634592035,0.9967072402293021,0.9611365120836055,0.9609795918367346,0.9610580455546892,6.152470407134603,0.9880333660088408,0.9884402685556809,0.8841010401188707,0.8960843373493976,0.8900523560208925,34.39624832416403,0.9868333039957754,0.9873437775039605,0.8481397114654518,0.8753918495297806,0.8615503278055805,42.25439813219268
datalawyer_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_5B-jur2vec-nilc_0,datalawyer,ELMo+CNN+Embeddings,wang2vec-lc,skip,True,0,14,20,01:21:21,4881.0,244.05,0.9963422318533204,0.996457497656262,0.958530612244898,0.958530612244898,0.958530612244848,5.990739193940844,0.98903212680563,0.9894020382118482,0.8956916099773242,0.8923192771084337,0.8940022632968191,29.4712550311253,0.9863228304875902,0.9868685090653054,0.8564705882352941,0.8557993730407524,0.8561348490787427,39.65262335744397
datalawyer_ELMo+CNN+Embeddings_wang2vec_cbow_0,datalawyer,ELMo+CNN+Embeddings,wang2vec,cbow,False,0,11,20,01:26:26,5186.0,259.3,0.9966342385541058,0.9967648731307729,0.9602811376266753,0.9591836734693877,0.9597320918075135,5.75588698503716,0.9883292951338154,0.9887546932509664,0.8925869894099848,0.8885542168674698,0.890566037735799,31.656636583394018,0.9848442175673296,0.9854779088188699,0.8478260869565217,0.8557993730407524,0.8517940717628205,43.41791042788275
datalawyer_ELMo+CNN+Embeddings_wang2vec_skip_0,datalawyer,ELMo+CNN+Embeddings,wang2vec,skip,False,0,12,20,01:28:22,5302.0,265.1,0.9962538614043985,0.9963998647547913,0.955160606554704,0.9564081632653061,0.9557839778103595,6.168576822922018,0.9881628350010172,0.9884587641259919,0.8810408921933085,0.8923192771084337,0.8866442199775033,33.93683649753702,0.98561872909699,0.9860763950008802,0.8432721712538226,0.8644200626959248,0.8537151702785878,47.03446444149675
datalawyer_ELMo+CNN+Embeddings_word2vec-lc_jur_cbow_5B-jur2vec-nilc-2_0,datalawyer,ELMo+CNN+Embeddings,word2vec-lc,cbow,True,0,12,20,01:21:10,4870.0,243.5,0.9935950635498794,0.9938755436703706,0.9319002297341648,0.9271836734693878,0.9295359685734832,9.747399923175134,0.9884402685556809,0.9887361976806555,0.8719824433065106,0.8975903614457831,0.8846011131724918,28.507927014909942,0.98568913923605,0.9861292026051751,0.8322097378277153,0.8706896551724138,0.8510149368057714,34.667265497404955
datalawyer_ELMo+CNN+Embeddings_word2vec-lc_jur_skip_5B-jur2vec-nilc-2_0,datalawyer,ELMo+CNN+Embeddings,word2vec-lc,skip,True,0,10,20,01:21:28,4888.0,244.4,0.9962692301781241,0.9964498132693992,0.9589399640111238,0.9570612244897959,0.9579996731491573,6.458544515485693,0.988199826141639,0.9884402685556809,0.8738147337709701,0.9021084337349398,0.8877361985920212,29.217949390411377,0.9860411899313501,0.9865340609047702,0.8443432042520881,0.8714733542319749,0.8576937909756539,39.07598290772274
datalawyer_ELMo+CNN+Embeddings_word2vec_cbow_0,datalawyer,ELMo+CNN+Embeddings,word2vec,cbow,False,0,14,20,01:28:48,5328.0,266.4,0.9967725575176357,0.996864770159989,0.963562091503268,0.9627755102040816,0.9631686402612812,5.3740757515454645,0.9879593837275973,0.9882923039931937,0.883808095952024,0.8878012048192772,0.8858001502629104,29.86513190433897,0.9860939975356451,0.9866924837176554,0.8508500772797527,0.8628526645768025,0.8568093385213508,40.34956239831859
datalawyer_ELMo+CNN+Embeddings_word2vec_skip_0,datalawyer,ELMo+CNN+Embeddings,word2vec,skip,False,0,9,20,01:29:47,5387.0,269.35,0.996776399711067,0.9969569828023422,0.9619032047089601,0.9604897959183674,0.9611959807204794,5.604898208236782,0.9878299147354209,0.9881813305713282,0.8906485671191554,0.8893072289156626,0.889977392614871,31.070443835751764,0.9867804963914804,0.9873965851082556,0.8551401869158879,0.8605015673981191,0.8578124999999501,40.546588716835814
datalawyer_ELMo+Embeddings_fasttext-lc_jur_cbow_5B-jur2vec-nilc-2_0,datalawyer,ELMo+Embeddings,fasttext-lc,cbow,True,0,16,20,01:15:06,4506.0,225.3,0.9919928688889913,0.9923386662978161,0.9113260121291592,0.9077551020408163,0.9095370521838205,12.17804945312523,0.9875894723213791,0.9878669058760426,0.874095513748191,0.9096385542168675,0.8915129151291015,24.03124839684059,0.9866924837176554,0.9872381622953705,0.8455162019593067,0.8793103448275862,0.8620822128312984,29.40542064041927
datalawyer_ELMo+Embeddings_fasttext-lc_jur_skip_5B-jur2vec-nilc-2_0,datalawyer,ELMo+Embeddings,fasttext-lc,skip,True,0,11,20,01:13:04,4384.0,219.2,0.9958696420612599,0.9960310141853781,0.9537082314588428,0.955265306122449,0.9544861337683024,6.85833152707295,0.9877744280244881,0.9882923039931937,0.8926380368098159,0.8765060240963856,0.8844984802431111,36.13577836135338,0.9861292026051751,0.9868685090653054,0.8726981585268214,0.85423197492163,0.8633663366336133,42.49469013871818
datalawyer_ELMo+Embeddings_fasttext_cbow_0,datalawyer,ELMo+Embeddings,fasttext,cbow,False,0,15,20,01:21:41,4901.0,245.05,0.9928573624110533,0.9931916332395838,0.9171984945180821,0.9151020408163265,0.9161490683229314,11.22093478109124,0.9879593837275973,0.9883662862744372,0.8880540946656649,0.8900602409638554,0.8890560361037484,25.840158495409735,0.9867452913219503,0.9873085724344306,0.8569230769230769,0.8730407523510971,0.8649068322980866,32.92042393519961
datalawyer_ELMo+Embeddings_fasttext_skip_0,datalawyer,ELMo+Embeddings,fasttext,skip,False,0,14,20,01:24:14,5054.0,252.7,0.996088647086849,0.9962231238569474,0.9509532344793873,0.9528163265306122,0.9518838688631045,6.421365557080375,0.9874600033292027,0.9879408881572863,0.8800888230940045,0.8953313253012049,0.8876446435236529,32.009711569753186,0.9875022003168457,0.9881182890336209,0.852559205500382,0.8746081504702194,0.8634429400386348,40.25055142106681
datalawyer_ELMo+Embeddings_glove-lc_jur_5B-jur2vec-nilc-2_0,datalawyer,ELMo+Embeddings,glove-lc,No,True,0,14,20,01:13:40,4420.0,221.0,0.9953278927874345,0.9955238446524352,0.9490196078431372,0.9482448979591837,0.948632094732494,7.3455830201011745,0.9891800913681174,0.9894575249227809,0.8942235558889723,0.8975903614457831,0.8959037955655269,28.855918432104176,0.9865516634395353,0.9870445344129555,0.8573631457208943,0.8714733542319749,0.8643606684803231,38.221276011960256
