Training_ID,Model,Representation,Embedding,Corpus_Type,Embedding_Type,Domain_Specific,Dimension,Embedding_Dimension,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo+CNN+GloVe-jur_4,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,4,9,10,0:47:34.182669,2854.0,285.4,0.9956538365818275,0.9957934479765452,0.9502572898799314,0.9478727044599065,0.9490634993147056,10.461563288799825,0.989765446058392,0.9901713490475776,0.917864476386037,0.9302809573361083,0.9240310077518881,39.61076844079154,0.9891219457770836,0.9894566551377887,0.90963554667998,0.9114557278639319,0.9105447276361318,41.832027081080845
datalawyer-ft_ELMo+CNN+GloVe-jur_5,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,5,8,10,0:47:46.662518,2866.0,286.6,0.9953290883375925,0.9955263653083894,0.9475125513464172,0.9471883198357477,0.9473504078489033,10.923318802213377,0.9892870603925662,0.9895914876344554,0.9157678479712378,0.9276795005202914,0.9216851899715188,39.167328453063966,0.9893171929041615,0.9895124400312395,0.9136546184738956,0.9104552276138069,0.9120521172637938,39.32298846926008
datalawyer-ft_ELMo+CNN+GloVe-jur_6,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,6,9,10,0:47:47.032872,2867.0,286.7,0.9957873779159053,0.9959846548867023,0.9534005037783375,0.9498117942283564,0.9516027655562039,10.350356087911349,0.9901858455829057,0.9906352381780754,0.9212152420185376,0.9308012486992716,0.925983436852952,36.95325418199812,0.9887453977462903,0.9893311391275242,0.9108121574489287,0.9144572286143071,0.9126310534198202,39.176731313977925
datalawyer-ft_ELMo+CNN+GloVe-jur_7,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,7,4,10,0:47:43.217766,2863.0,286.3,0.9954110341562312,0.9956143811876681,0.947891669523483,0.9461617428995095,0.9470259162004294,10.982577643237232,0.9895190049578151,0.9898669218056885,0.9122626988199076,0.9250780437044746,0.9186256781192991,37.81057269232614,0.9893450853508869,0.9895821711480531,0.9093161546085233,0.9179589794897449,0.9136171272093103,38.638177571977884
datalawyer-ft_ELMo+CNN+GloVe-jur_8,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,8,8,10,0:47:51.785937,2871.0,287.1,0.9954322793684709,0.9956386614302277,0.9480712166172107,0.9475305121478271,0.9478007872667652,10.722601240672217,0.9889536400800208,0.9891275985039576,0.910295616717635,0.9292403746097815,0.9196704428423805,41.254890755244666,0.989930826732121,0.9900702889657481,0.9109351806036615,0.92096048024012,0.9159203980099002,40.04569266183036
datalawyer-ft_ELMo+CNN+GloVe-jur_9,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,9,6,10,0:47:40.793312,2860.0,286.0,0.9955415404599892,0.9957691677339857,0.9508365803346321,0.9463898711075625,0.9486080146343752,10.490495008559314,0.9892725638572382,0.9894610188165028,0.9149154279856484,0.9287200832466181,0.9217660728117238,39.040052849905834,0.9892195693406226,0.9893032466807988,0.9123505976095617,0.9164582291145573,0.9143998003493387,40.959410776410785
datalawyer-ft_ELMo+GloVe_0,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,0,6,10,0:43:25.771095,2605.0,260.5,0.9959087791287035,0.9960574956143812,0.9544986852635189,0.9523212045169385,0.9534087016100905,9.783948099960579,0.989490011887159,0.9897364529877359,0.9176531137416366,0.9276795005202914,0.9226390685639863,38.2297287940979,0.9897913644984938,0.9900005578489345,0.9126117179741807,0.9194597298649325,0.9160229254921005,35.849693993159704
datalawyer-ft_ELMo+GloVe_1,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,1,8,10,0:43:25.954160,2605.0,260.5,0.9958844988861438,0.9960483905234213,0.9546493031756911,0.9532337173491502,0.95394098510354,9.55556192637587,0.9894320257458468,0.9896349772404396,0.9140504374678332,0.9240374609781478,0.9190168175937404,40.936746433803016,0.9892056231172598,0.9892893004574361,0.9094977623073098,0.9149574787393697,0.9122194513715213,36.84169857842581
datalawyer-ft_ELMo+GloVe_2,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,2,5,10,0:43:45.753995,2625.0,262.5,0.9959755497957424,0.9961394414330199,0.9557865874557294,0.9542602942853884,0.9550228310501784,9.802256001925176,0.9892145777159259,0.9896059841697834,0.9163655136809499,0.9235171696149844,0.9199274423425259,38.33664233343942,0.9893171929041615,0.9895403324779649,0.9083250743310208,0.9169584792396198,0.912621359223251,35.76836750847953
datalawyer-ft_ELMo+GloVe_3,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,3,9,10,0:43:44.282910,2624.0,262.4,0.9961090911298204,0.9962335273729385,0.9573421774931381,0.9548306148055207,0.9560847467305765,9.536240059813839,0.9896639703110957,0.9898669218056885,0.9127105666156202,0.9302809573361083,0.9214120072145855,36.300478308541436,0.9886756666294767,0.9889964297668191,0.9118525896414342,0.9159579789894947,0.9139006738207636,37.48160084315709
