Training_ID,Model,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem_FastText_skip_3_0,harem,FastText,skip,3,0,16,20,00:22:29,1349.0,67.45,0.9985813207228509,0.9987051736756178,0.9831978319783198,0.9823991334958029,0.9827983204658853,2.891298676715858,0.9856107660455486,0.9866459627329193,0.8571428571428569,0.8845208845208843,0.8706166868197805,64.15864683787028,0.9784015009380863,0.9802926829268293,0.8420682377769961,0.7993322203672788,0.8201438848920364,103.41866753236303
harem_FastText_skip_4_0,harem,FastText,skip,4,0,19,20,00:20:43,1243.0,62.15,0.9986082824168364,0.9987327449649241,0.9847950040727668,0.9847950040727668,0.9847950040727168,2.9174008313288438,0.9878157503714711,0.9891035165923725,0.8921568627450978,0.8729016786570741,0.8824242424241923,60.12163619995117,0.9778311444652908,0.9797373358348969,0.830372692441658,0.7959933222036728,0.8128196385952451,115.12637228335974
harem_FastText_skip_5_0,harem,FastText,skip,5,0,10,20,00:20:38,1238.0,61.9,0.9987136376971858,0.9988377603755275,0.9858963927312178,0.9864314789687924,0.9861638632663634,3.007600545688574,0.9858926215365879,0.986806048919111,0.8679245283018866,0.886746987951807,0.8772348033372561,49.205531438191734,0.9776660412757974,0.979422138836773,0.8299791811242193,0.7986644407345576,0.8140207588905406,78.2719189625866
harem_glove_0_0,harem,glove,No,0,0,13,20,00:21:43,1303.0,65.15,0.9984438672697148,0.9985670144641977,0.9824750606632515,0.982740021574973,0.9826075232573318,3.0147183660362193,0.9796743525297782,0.9821877390449131,0.8324742268041234,0.8239795918367344,0.828205128205078,70.34758625030517,0.9782514071294559,0.9800375234521576,0.8458526165895336,0.7933222036727879,0.8187456926257254,92.91767758243489
harem_glove_1_0,harem,glove,No,1,0,14,20,00:21:29,1289.0,64.45,0.9984847285515588,0.998563884522746,0.9832522960561858,0.9792843691148776,0.9812643213370574,3.1082505863437904,0.9881497709619598,0.9892451702848039,0.8820512820512818,0.8981723237597908,0.8900388098317737,41.233481343587236,0.9782514071294559,0.9798874296435272,0.8230088495575221,0.8073455759599332,0.8151019720208501,87.21474275049174
harem_glove_2_0,harem,glove,No,2,0,16,20,00:22:15,1335.0,66.75,0.9986938052293224,0.998841462029486,0.9837510327733406,0.9842931937172775,0.9840220385674431,2.923189212554204,0.9864851912201668,0.9875395380044091,0.8653061224489794,0.9002123142250529,0.882414151925028,51.642143885294594,0.9778311444652908,0.9796622889305816,0.8250768705158865,0.8063439065108514,0.8156028368793827,94.90202774191802
harem_glove_3_0,harem,glove,No,3,0,19,20,00:20:41,1241.0,62.05,0.9985475426448235,0.998660136238248,0.9821331889550623,0.9823991334958029,0.9822661432245338,2.8260997983613123,0.9843685300207039,0.9853002070393375,0.8407494145199061,0.8820638820638819,0.8609112709831633,62.609572664896646,0.9780562851782364,0.9796772983114447,0.8186125211505922,0.8076794657762938,0.813109243697429,106.62242607800465
harem_glove_5_0,harem,glove,No,5,0,10,20,00:21:26,1286.0,64.3,0.9986346505382411,0.9987587732165828,0.9831841605641443,0.9837177747625508,0.9834508952793857,3.136017070221367,0.9859941134679793,0.9871105247132853,0.8734793187347929,0.8650602409638551,0.8692493946730732,46.69617551167806,0.9777410881801125,0.9796772983114447,0.8316761363636364,0.7819699499165276,0.8060574771983668,79.75765359626627
harem_none_0_0,harem,none,No,0,0,9,20,00:21:39,1299.0,64.95,0.9979512784917828,0.9980632304867673,0.9756888168557536,0.9741100323624595,0.9748987854250513,4.189903145072176,0.9789094088077805,0.9808764069500601,0.8029925187032416,0.8214285714285712,0.8121059268599751,60.38572883605957,0.9773658536585366,0.979031894934334,0.815028901734104,0.8003338898163606,0.8076145552560148,74.78248077968381
harem_none_1_0,harem,none,No,1,0,17,20,00:21:39,1299.0,64.95,0.9975574728890799,0.9978062487985254,0.9751149580741142,0.9698681732580038,0.9724844888049137,4.367090432612754,0.989344752041426,0.9905397331208923,0.8926701570680625,0.8903394255874671,0.8915032679738061,42.361208025614424,0.9774409005628518,0.9791369606003753,0.8219319353729804,0.798330550918197,0.809959349593446,95.37042965978947
harem_none_2_0,harem,none,No,2,0,14,20,00:22:07,1327.0,66.35,0.9979100883669157,0.9981031780286681,0.977147577092511,0.9779553596031965,0.9775513014735763,3.76988909148903,0.9858142432665581,0.9868685900508003,0.8688524590163932,0.9002123142250529,0.8842544316996369,46.93178965250651,0.978671669793621,0.9804878048780488,0.8395796847635727,0.8003338898163606,0.8194871794871295,82.74636435958574
harem_none_3_0,harem,none,No,3,0,12,20,00:20:35,1235.0,61.75,0.9981647244271801,0.9983899116140291,0.9804188196899647,0.9761711345789331,0.9782903663500179,3.7087469142097147,0.9830227743271222,0.984472049689441,0.8240740740740738,0.8746928746928745,0.8486293206197353,46.408568700154625,0.9772157598499062,0.9788367729831144,0.8161664392905866,0.7989983305509182,0.8074911422304207,81.38874233893628
harem_none_4_0,harem,none,No,4,0,8,20,00:20:26,1226.0,61.3,0.9977823036886173,0.9979520253451007,0.9773656940278157,0.973119739342927,0.9752380952380453,3.9799226867174036,0.9879148093115404,0.9891035165923725,0.8891566265060239,0.884892086330935,0.8870192307691807,36.36686296463013,0.9775609756097561,0.9793020637898686,0.8220713073005094,0.808347245409015,0.8151515151514651,67.45829145863371
harem_none_5_0,harem,none,No,5,0,18,20,00:21:11,1271.0,63.55,0.9981268759450249,0.9982961341427636,0.9804613297150611,0.9804613297150611,0.9804613297150111,4.055466952497389,0.9850806860854562,0.9864000811935452,0.8611764705882351,0.8819277108433733,0.8714285714285214,56.942982800801595,0.9777560975609756,0.9793320825515948,0.8232323232323232,0.8163606010016694,0.8197820620284496,90.4787632024513
