Training_ID,Model,Representation,Embedding,Corpus_Type,Embedding_Type,Domain_Specific,Dimension,Embedding_Dimension,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s300_0,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,300,No_300,0,9,10,0:25:03.300551,1503.0,150.3,0.9958571836132643,0.9960392854324615,0.9542595769010863,0.9518649481008327,0.9530607583370903,22.43026824524066,0.990011887158969,0.9901858455829057,0.9176954732510288,0.9281997918834547,0.9229177444386464,85.69442065102713,0.9889685373200937,0.9893450853508869,0.9152371342078708,0.9074537268634317,0.9113288118562676,88.17641468048096
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s100_3,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,100,skip_100,3,9,10,0:24:52.769740,1492.0,149.2,0.9960150051899018,0.9962062121000589,0.9531929503318838,0.9500399224364092,0.9516138246214867,22.930657426272433,0.9884897509495231,0.9891420950392856,0.9094650205761317,0.9198751300728408,0.9146404552508554,89.35416137150355,0.9895821711480531,0.9901121276358362,0.9142857142857143,0.912456228114057,0.913370055082574,88.24721813201904
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s100_4,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,100,skip_100,4,9,10,0:25:06.285683,1506.0,150.6,0.9958389734313445,0.9960757057963009,0.9544568085350464,0.9490133455001711,0.9517272935254592,23.09705850975645,0.9895914876344554,0.9899828940883129,0.913510747185261,0.9287200832466181,0.9210526315788975,83.43835558210101,0.9895403324779649,0.9900284502956599,0.9093186372745491,0.9079539769884942,0.9086357947433793,81.65544090270996
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s100_5,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,100,skip_100,5,9,10,0:25:07.884837,1507.0,150.7,0.995617416217988,0.9958207632494248,0.9502174410620279,0.9470742557317212,0.9486432447871537,24.015744814843487,0.9897074599170799,0.9900698733002812,0.9144028703229113,0.9281997918834547,0.9212496772527257,85.89262621743339,0.9883549034921343,0.9887732901930157,0.9099549774887443,0.9099549774887443,0.9099549774886944,88.14596020834786
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s100_6,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,100,skip_100,6,9,10,0:24:57.348010,1497.0,149.7,0.9958905689467837,0.9961060560995004,0.9530570185482025,0.9494696019162769,0.9512599280040642,23.04991917668676,0.9890841088979734,0.9893885361398626,0.9165378670788253,0.9255983350676379,0.9210458193113661,87.02650171007429,0.9885919892893005,0.9889266986500056,0.9131751640585563,0.904952476238119,0.9090452261306032,90.65048830849784
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s100_7,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,100,skip_100,7,9,10,0:25:01.292217,1501.0,150.1,0.995623486278628,0.9958146931887849,0.9487882944673068,0.9467320634196419,0.9477590636596702,23.8056570240325,0.9896639703110957,0.989997390623641,0.9153846153846154,0.9287200832466181,0.922004132231355,84.63197018759591,0.9886059355126632,0.9889964297668191,0.9139569784892446,0.9139569784892446,0.9139569784891947,82.0253649847848
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s100_8,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,100,skip_100,8,9,10,0:24:59.221668,1499.0,149.9,0.9957964830068652,0.9960119701595819,0.9511971588956353,0.9470742557317212,0.9491312299953776,23.446444447055185,0.9895335014931431,0.9898959148763445,0.9091836734693878,0.927159209157128,0.9180834621328713,86.38513832092285,0.9893171929041615,0.9897076871583175,0.9088645418326693,0.9129564782391195,0.9109059146493136,88.12594885144915
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s100_9,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,100,skip_100,9,9,10,0:25:15.166404,1515.0,151.5,0.9959664447047826,0.9961273013117401,0.952849622339208,0.9496977301243299,0.951271065409833,23.755859759687645,0.9891710881099417,0.9898089356643762,0.9091373149566105,0.9266389177939646,0.9178046895129621,87.24902079445975,0.9878110007809885,0.9883130648220462,0.9064211050273768,0.9109554777388694,0.9086826347304889,89.30064446585519
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s300_0,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,300,skip_300,0,8,10,0:25:03.424991,1503.0,150.3,0.9961060560995004,0.9962517375548582,0.95758060827807,0.9552868712216266,0.9564323645291569,21.200806458303532,0.9893595430692065,0.9895769910991273,0.9073319755600815,0.927159209157128,0.9171384457024719,84.24495446341378,0.9888151288631039,0.9890382684369072,0.903912828132739,0.9129564782391195,0.9084121453458932,83.88818860735212
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_skip_10B-jur2vec-nilc-brwac_s300_1,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,10B-jur2vec-nilc-brwac,skip,Sim,300,skip_300,1,9,10,0:25:13.017489,1513.0,151.3,0.9961849668878192,0.9963367184038169,0.9570580173595249,0.9558571917417589,0.9564572276436184,20.971925049471707,0.9895479980284712,0.9898669218056885,0.9089521871820956,0.9297606659729448,0.9192386831275219,83.5964582988194,0.9883130648220462,0.9887453977462903,0.9073243647234679,0.9109554777388694,0.9091362955566151,88.29879717145647
