Training_ID,Scenario,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_3,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,3,31,56,01:11:56,4316.0,77.07142857142857,0.9996417536160495,0.9996641440150463,0.9962182603997839,0.9946062567421791,0.9954116059378718,1.0475406218737142,0.9822970167194842,0.9848104032346192,0.8494897959183672,0.8494897959183672,0.8494897959183172,110.84437840779623,0.9797673545966229,0.981688555347092,0.8526578665715305,0.7979966611018364,0.8244222145566937,132.4190505765519
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_8,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,8,15,40,00:45:49,2749.0,68.725,0.9997760960100309,0.9997760960100309,0.9967637540453075,0.9967637540453075,0.9967637540452575,0.6760484722178819,0.9824062943940552,0.9844825702109059,0.8395989974937341,0.8545918367346936,0.8470290771175226,75.81614761352539,0.979422138836773,0.9811782363977486,0.840766550522648,0.8056761268781302,0.822847399829447,89.40939407528572
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_2,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,2,22,47,00:57:34,3454.0,73.48936170212765,0.9994066544265818,0.9994626304240741,0.9948717948717949,0.994066882416397,0.994469175772242,1.2818058808125667,0.9821877390449131,0.9844825702109059,0.8329238329238327,0.8647959183673467,0.848560700876045,99.26322053273519,0.9778311444652908,0.9796172607879925,0.8187114461960247,0.7976627712854758,0.8080500591915618,114.14672802979092
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_6,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,6,65,75,01:16:12,4572.0,60.96,0.999626134342393,0.9996714513917999,0.9971085409252669,0.9968868134311764,0.9969976648503893,0.8532088782652212,0.9882445141065831,0.9884404388714734,0.8869047619047618,0.8781925343811393,0.8825271470878077,64.35926030476888,0.9657035647279549,0.967624765478424,0.7633587786259542,0.7431874483897605,0.7531380753137575,226.72476192690291
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_5,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,5,18,43,01:09:55,4195.0,97.55813953488372,0.9995969728180556,0.999608168017554,0.9954140814674939,0.9951456310679612,0.99527983816583,0.9338941202123663,0.9797836302043492,0.9822970167194842,0.8316582914572862,0.8443877551020406,0.8379746835442535,99.65075556437175,0.9792120075046904,0.9808630393996247,0.8391802709274053,0.806677796327212,0.8226081035069299,105.45240780092635
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_8,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,8,50,75,01:13:46,4426.0,59.013333333333335,0.9995808172929861,0.9996148050800412,0.9964396973742768,0.9957749610851679,0.9961072183293905,0.932902510653236,0.9853056426332288,0.9861873040752351,0.8695652173913041,0.8644400785854615,0.8669950738915755,66.38052406311036,0.9657035647279549,0.9677748592870544,0.7686922430691683,0.7555739058629232,0.7620766240976734,199.38917097055688
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_6,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,6,32,57,01:18:40,4720.0,82.80701754385964,0.9996977296135418,0.9997201200125386,0.9959536012948476,0.9956850053937433,0.9958192852325866,0.6012793493060979,0.9814227953229155,0.9836083488143372,0.8272506082725058,0.86734693877551,0.8468244084681941,117.7138666788737,0.9790919324577861,0.9807279549718574,0.82946001367054,0.8103505843071787,0.8197939537239831,132.07812831086932
harem_ELMo+Embeddings_wang2vec_skip_total_0_7,total,harem,ELMo+Embeddings,wang2vec,skip,0,7,9,34,00:33:12,1992.0,58.588235294117645,0.9992522686847859,0.9992975857341928,0.9922066354932086,0.9908828107627307,0.9915442812638573,1.6563138634856067,0.983346394984326,0.9835423197492164,0.8484251968503935,0.8467583497053043,0.847590953785594,43.58724053700765,0.9618161350844278,0.9636923076923077,0.7509075677185144,0.7401596476740986,0.7454948710839534,116.73731523189905
harem_ELMo+Embeddings_wang2vec_skip_selective_0_1,selective,harem,ELMo+Embeddings,wang2vec,skip,0,1,49,74,01:20:53,4853.0,65.58108108108108,0.9995857776185572,0.9996193632170526,0.9954190245216923,0.9962243797195254,0.9958215392909597,0.8728746729173156,0.980767129275489,0.9832805157906239,0.8447837150127224,0.8469387755102038,0.8458598726114147,128.64150822957356,0.9778011257035647,0.9799024390243902,0.8377130681818182,0.7876460767946578,0.8119084494922921,146.4069107703443
harem_ELMo+Embeddings_wang2vec_skip_total_0_5,total,harem,ELMo+Embeddings,wang2vec,skip,0,5,39,64,01:02:54,3774.0,58.96875,0.9995581587682826,0.9995808172929861,0.9959973315543695,0.9959973315543695,0.9959973315543196,0.777528959778207,0.985403605015674,0.985403605015674,0.8602362204724407,0.8585461689587425,0.8593903638150924,63.56924616495768,0.9640975609756097,0.9660187617260788,0.7671658660638598,0.7473162675474814,0.7571109871722869,204.11146577799096
