Embedding,Tagging Scheme,Lower,Capitalisation Dim,Char LSTM Dim,Word LSTM Dim,count,mean,std,min,25%,50%,75%,max
Glove,IOBES,False,False,25,100,10.0,55.11500000000001,1.5191609526314185,52.36,54.7175,55.255,56.1125,57.4
Glove,IOBES,False,False,50,200,10.0,55.08299999999999,1.118084174927014,53.21,54.5225,55.285,55.675,56.86
Word2Vec,IOBES,False,False,50,200,9.0,55.063333333333325,0.9728951639308314,53.31,55.11,55.55,55.71,55.81
Glove,IOBES,False,True,50,200,8.0,55.057500000000005,1.5506381174950425,51.92,54.4675,55.235,56.120000000000005,56.96
Word2Vec,IOB2,False,True,50,100,10.0,55.028999999999996,0.9881908272753357,53.43,54.3175,54.95,55.65,56.77
Glove,IOBES,False,False,50,100,9.0,54.86222222222223,1.5818563286355822,51.25,54.77,54.9,55.01,56.97
Glove,IOB2,False,True,50,100,9.0,54.808888888888895,0.8671280822987515,53.62,53.97,55.16,55.41,55.86
Glove,IOB2,False,True,25,100,10.0,54.80499999999999,1.3486969019514103,52.77,54.275,54.715,54.9225,57.29
Word2Vec,IOB2,False,True,25,100,9.0,54.763333333333335,0.9679617761048214,52.72,54.53,54.94,55.6,55.87
Glove,IOB2,False,True,50,200,10.0,54.724000000000004,0.719246519321126,53.57,54.215,54.725,55.2875,55.63
Word2Vec,IOB2,False,True,50,200,8.0,54.684999999999995,1.6596212993158588,52.08,53.495,54.945,56.2025,56.46
Glove,IOB2,False,False,50,100,10.0,54.641,1.8158221278528348,50.35,54.61,55.235,55.74,56.29
Word2Vec,IOB2,False,False,25,100,9.0,54.55777777777777,1.331378775722537,52.14,53.83,54.41,55.44,56.69
Word2Vec,IOBES,False,True,25,200,10.0,54.54600000000001,1.2537605654811268,52.37,53.650000000000006,54.7,55.5475,56.12
Word2Vec,IOBES,False,True,50,100,10.0,54.49100000000001,1.2481225901328756,52.93,53.4575,54.31,55.4225,56.55
Glove,IOB2,False,True,25,200,10.0,54.25200000000001,1.6731659942888046,51.22,52.81,55.33,55.505,55.74
Word2Vec,IOBES,False,True,25,100,10.0,54.232000000000006,0.9478373043700891,52.97,53.599999999999994,53.955,54.7975,55.76
Word2Vec,IOBES,False,False,25,100,10.0,54.14,1.0853877955213362,52.28,53.3675,54.195,54.697500000000005,56.01
Glove,IOB2,False,False,50,200,10.0,54.053,1.529633579942886,50.81,53.2825,54.31,54.8925,56.13
Word2Vec,IOB2,False,False,50,200,10.0,54.045,1.0723934808538222,52.23,53.265,54.26,54.8125,55.37
Glove,IOB2,False,False,25,200,9.0,54.03999999999999,0.9311417722344971,52.5,53.81,54.2,54.62,55.36
Word2Vec,IOBES,False,True,50,200,8.0,53.892500000000005,1.1187971857567138,52.38,53.08,54.01,54.3675,55.49
Word2Vec,IOB2,False,False,25,200,10.0,53.799,1.180757289953264,52.18,52.7725,54.06,54.32,55.5
Word2Vec,IOBES,False,False,25,200,10.0,53.70799999999999,1.036155286517316,52.4,52.94,53.364999999999995,54.725,55.21
Word2Vec,IOB2,False,True,25,200,10.0,53.46,1.3474007899986138,51.92,52.36,53.295,54.605000000000004,55.65
Word2Vec,IOBES,True,False,50,100,2.0,51.9,0.565685424949236,51.5,51.7,51.9,52.099999999999994,52.3
Word2Vec,IOB2,True,True,50,100,1.0,51.56,,51.56,51.56,51.56,51.56,51.56
Word2Vec,IOBES,True,False,25,100,1.0,51.53,,51.53,51.53,51.53,51.53,51.53
Word2Vec,IOB2,True,False,50,200,3.0,51.45666666666667,0.9965105786359397,50.43,50.975,51.52,51.97,52.42
Word2Vec,IOB2,True,False,50,100,3.0,51.20333333333334,0.8194103571064579,50.31,50.845,51.38,51.650000000000006,51.92
Word2Vec,IOB2,True,False,25,200,2.0,51.19,0.7353910524340088,50.67,50.93,51.19,51.45,51.71
Word2Vec,IOB2,True,True,50,200,2.0,51.105000000000004,1.5202795795510762,50.03,50.5675,51.105000000000004,51.6425,52.18
Word2Vec,IOB2,True,True,25,200,2.0,51.03,1.1879393923933996,50.19,50.61,51.03,51.449999999999996,51.87
Word2Vec,IOB2,True,False,25,100,6.0,50.72,0.5420701061670887,50.06,50.29,50.725,51.1225,51.41
Word2Vec,IOBES,True,False,50,200,3.0,50.596666666666664,0.5346338310781804,50.13,50.305,50.48,50.83,51.18
Word2Vec,IOBES,True,True,50,200,3.0,50.50666666666667,0.3785938897200155,50.24,50.290000000000006,50.34,50.64,50.94
Word2Vec,IOBES,True,True,50,100,4.0,50.505,0.4149297129233676,50.16,50.2425,50.385000000000005,50.6475,51.09
Word2Vec,IOBES,True,False,25,200,1.0,50.5,,50.5,50.5,50.5,50.5,50.5
Word2Vec,IOB2,True,True,25,100,4.0,50.357499999999995,0.20221688027132056,50.09,50.2625,50.394999999999996,50.489999999999995,50.55
Word2Vec,IOBES,True,True,25,100,1.0,50.18,,50.18,50.18,50.18,50.18,50.18
