Training Round,Epochs,Scenario,Embedding,Tagging Scheme,Capitalisation Dim,Lower,Char LSTM Dim,Word LSTM Dim,Precision,Recall,F1 Score
4,5,selective,Wang2Vec,iob,False,True,25,100,66.62,66.12,66.37
4,5,selective,Wang2Vec,iob,False,True,25,200,53.14,3.33,6.28
4,5,selective,Wang2Vec,iob,False,True,50,100,68.53,65.65,67.06
4,5,selective,Wang2Vec,iob,False,True,50,200,37.58,6.35,10.86
4,5,selective,Wang2Vec,iob,True,False,25,100,64.9,47.87,55.1
4,5,selective,Wang2Vec,iob,True,False,25,200,65.18,48.8,55.81
4,5,selective,Wang2Vec,iob,True,False,50,100,59.47,54.71,56.99
4,5,selective,Wang2Vec,iob,True,False,50,200,58.61,56.01,57.28
4,5,selective,Wang2Vec,iob,True,True,25,100,70.19,66.44,68.26
4,5,selective,Wang2Vec,iob,True,True,25,200,57.07,27.21,36.85
4,5,selective,Wang2Vec,iob,True,True,50,100,69.27,65.72,67.45
4,5,selective,Wang2Vec,iob,True,True,50,200,70.41,63.39,66.72
4,5,selective,Wang2Vec,iobes,False,False,25,100,64.74,53.39,58.52
4,5,selective,Wang2Vec,iobes,False,False,25,200,60.74,48.55,53.97
4,5,selective,Wang2Vec,iobes,False,False,50,100,64.52,50.74,56.8
4,5,selective,Wang2Vec,iobes,False,False,50,200,59.64,54.57,56.99
4,5,selective,Wang2Vec,iobes,False,True,25,100,0.94,7.17,1.66
4,5,selective,Wang2Vec,iobes,False,True,25,200,69.61,62.24,65.72
4,5,selective,Wang2Vec,iobes,False,True,50,100,67.71,64.58,66.1
4,5,selective,Wang2Vec,iobes,False,True,50,200,63.65,67.05,65.3
4,5,selective,Wang2Vec,iobes,True,False,25,100,60.67,56.08,58.28
4,5,selective,Wang2Vec,iobes,True,False,25,200,61.0,51.2,55.67
4,5,selective,Wang2Vec,iobes,True,False,50,100,61.32,50.81,55.57
4,5,selective,Wang2Vec,iobes,True,False,50,200,55.43,62.24,58.64
4,5,selective,Wang2Vec,iobes,True,True,25,100,68.8,65.4,67.06
4,5,selective,Wang2Vec,iobes,True,True,25,200,68.0,65.01,66.47
4,5,selective,Wang2Vec,iobes,True,True,50,100,65.84,61.56,63.63
4,5,selective,Wang2Vec,iobes,True,True,50,200,65.71,67.19,66.44
5,5,selective,Wang2Vec,iob,False,False,25,100,63.14,48.76,55.03
5,5,selective,Wang2Vec,iob,False,False,25,200,60.81,50.63,55.25
5,5,selective,Wang2Vec,iob,False,False,50,100,19.9,18.61,19.23
5,5,selective,Wang2Vec,iob,False,False,50,200,67.85,45.79,54.68
5,5,selective,Wang2Vec,iob,False,True,25,100,65.49,68.59,67.01
5,5,selective,Wang2Vec,iob,False,True,25,200,69.49,63.54,66.38
5,5,selective,Wang2Vec,iob,False,True,50,100,67.93,67.44,67.69
5,5,selective,Wang2Vec,iob,False,True,50,200,0.5,0.61,0.55
5,5,selective,Wang2Vec,iob,True,False,25,100,62.93,50.09,55.78
5,5,selective,Wang2Vec,iob,True,False,25,200,66.39,46.68,54.82
5,5,selective,Wang2Vec,iob,True,False,50,100,62.85,50.05,55.73
5,5,selective,Wang2Vec,iob,True,False,50,200,15.53,34.17,21.36
5,5,selective,Wang2Vec,iob,True,True,25,100,71.54,64.54,67.86
5,5,selective,Wang2Vec,iob,True,True,25,200,70.18,62.85,66.31
5,5,selective,Wang2Vec,iob,True,True,50,100,68.55,63.79,66.08
5,5,selective,Wang2Vec,iob,True,True,50,200,66.65,67.8,67.22
5,5,selective,Wang2Vec,iobes,False,False,25,100,55.92,59.13,57.48
