,Training_Round,Epochs,Scenario,Embedding,Tagging_Scheme,Capitalisation_Dim,Lower,Char_LSTM_Dim,Word_LSTM_Dim,Precision,Recall,F1_Score
439,3,5,selective,FastText,IOBES,False,True,50,200,68.79,60.7,64.5
471,4,5,selective,FastText,IOBES,False,True,50,200,68.23,63.07,65.55
535,6,5,selective,FastText,IOBES,False,True,50,200,69.64,59.05,63.91
599,8,5,selective,FastText,IOBES,False,True,50,200,64.67,62.75,63.69
631,9,5,selective,FastText,IOBES,False,True,50,200,65.64,65.83,65.74
344,0,5,selective,FastText,IOBES,True,False,25,100,61.21,53.14,56.89
376,1,5,selective,FastText,IOBES,True,False,25,100,60.31,55.15,57.61
408,2,5,selective,FastText,IOBES,True,False,25,100,56.6,55.36,55.97
440,3,5,selective,FastText,IOBES,True,False,25,100,57.8,53.96,55.81
472,4,5,selective,FastText,IOBES,True,False,25,100,62.2,52.64,57.02
504,5,5,selective,FastText,IOBES,True,False,25,100,65.37,47.44,54.98
536,6,5,selective,FastText,IOBES,True,False,25,100,63.86,52.46,57.6
600,8,5,selective,FastText,IOBES,True,False,25,100,58.3,58.3,58.3
632,9,5,selective,FastText,IOBES,True,False,25,100,63.26,50.99,56.46
345,0,5,selective,FastText,IOBES,True,False,25,200,63.94,50.16,56.22
377,1,5,selective,FastText,IOBES,True,False,25,200,64.33,48.69,55.43
409,2,5,selective,FastText,IOBES,True,False,25,200,66.12,51.02,57.6
441,3,5,selective,FastText,IOBES,True,False,25,200,63.93,51.74,57.19
473,4,5,selective,FastText,IOBES,True,False,25,200,62.08,51.77,56.46
505,5,5,selective,FastText,IOBES,True,False,25,200,61.82,50.34,55.49
537,6,5,selective,FastText,IOBES,True,False,25,200,64.18,50.23,56.36
569,7,5,selective,FastText,IOBES,True,False,25,200,58.95,55.72,57.29
633,9,5,selective,FastText,IOBES,True,False,25,200,64.7,51.6,57.41
346,0,5,selective,FastText,IOBES,True,False,50,100,62.48,52.96,57.33
410,2,5,selective,FastText,IOBES,True,False,50,100,62.58,53.5,57.68
474,4,5,selective,FastText,IOBES,True,False,50,100,60.37,55.11,57.62
506,5,5,selective,FastText,IOBES,True,False,50,100,57.82,57.91,57.86
538,6,5,selective,FastText,IOBES,True,False,50,100,65.94,50.05,56.91
570,7,5,selective,FastText,IOBES,True,False,50,100,61.33,50.95,55.66
634,9,5,selective,FastText,IOBES,True,False,50,100,62.66,52.89,57.36
347,0,5,selective,FastText,IOBES,True,False,50,200,62.93,52.78,57.41
379,1,5,selective,FastText,IOBES,True,False,50,200,68.6,45.43,54.66
411,2,5,selective,FastText,IOBES,True,False,50,200,54.6,54.93,54.76
475,4,5,selective,FastText,IOBES,True,False,50,200,58.3,55.25,56.74
507,5,5,selective,FastText,IOBES,True,False,50,200,58.44,59.59,59.01
539,6,5,selective,FastText,IOBES,True,False,50,200,65.79,49.52,56.51
571,7,5,selective,FastText,IOBES,True,False,50,200,65.58,48.23,55.58
603,8,5,selective,FastText,IOBES,True,False,50,200,61.37,53.89,57.39
635,9,5,selective,FastText,IOBES,True,False,50,200,59.52,53.82,56.52
348,0,5,selective,FastText,IOBES,True,True,25,100,65.15,66.15,65.65
380,1,5,selective,FastText,IOBES,True,True,25,100,65.16,64.72,64.94
412,2,5,selective,FastText,IOBES,True,True,25,100,64.18,65.9,65.03
508,5,5,selective,FastText,IOBES,True,True,25,100,67.96,61.99,64.84
540,6,5,selective,FastText,IOBES,True,True,25,100,69.7,60.77,64.93
604,8,5,selective,FastText,IOBES,True,True,25,100,68.49,62.28,65.24
636,9,5,selective,FastText,IOBES,True,True,25,100,65.63,64.22,64.91
349,0,5,selective,FastText,IOBES,True,True,25,200,68.65,60.45,64.29
381,1,5,selective,FastText,IOBES,True,True,25,200,68.7,64.29,66.42
413,2,5,selective,FastText,IOBES,True,True,25,200,69.67,59.88,64.4
445,3,5,selective,FastText,IOBES,True,True,25,200,66.56,62.46,64.45
477,4,5,selective,FastText,IOBES,True,True,25,200,68.08,61.1,64.4
509,5,5,selective,FastText,IOBES,True,True,25,200,70.6,62.17,66.12
541,6,5,selective,FastText,IOBES,True,True,25,200,69.92,58.26,63.56
573,7,5,selective,FastText,IOBES,True,True,25,200,67.15,59.52,63.11
605,8,5,selective,FastText,IOBES,True,True,25,200,68.66,62.6,65.49
637,9,5,selective,FastText,IOBES,True,True,25,200,67.2,63.03,65.05
350,0,5,selective,FastText,IOBES,True,True,50,100,64.48,55.79,59.82
382,1,5,selective,FastText,IOBES,True,True,50,100,70.33,58.73,64.01
414,2,5,selective,FastText,IOBES,True,True,50,100,66.68,65.79,66.23
446,3,5,selective,FastText,IOBES,True,True,50,100,68.71,61.35,64.82
478,4,5,selective,FastText,IOBES,True,True,50,100,66.0,65.83,65.91
574,7,5,selective,FastText,IOBES,True,True,50,100,65.9,63.07,64.46
606,8,5,selective,FastText,IOBES,True,True,50,100,67.22,61.92,64.46
638,9,5,selective,FastText,IOBES,True,True,50,100,67.09,65.72,66.4
351,0,5,selective,FastText,IOBES,True,True,50,200,65.28,65.65,65.46
383,1,5,selective,FastText,IOBES,True,True,50,200,68.6,61.1,64.63
415,2,5,selective,FastText,IOBES,True,True,50,200,69.13,63.03,65.94
447,3,5,selective,FastText,IOBES,True,True,50,200,66.06,66.15,66.11
479,4,5,selective,FastText,IOBES,True,True,50,200,66.94,64.32,65.61
511,5,5,selective,FastText,IOBES,True,True,50,200,65.02,66.44,65.72
543,6,5,selective,FastText,IOBES,True,True,50,200,66.77,61.6,64.08
607,8,5,selective,FastText,IOBES,True,True,50,200,66.97,62.67,64.75
640,0,5,selective,Glove,IOB2,False,False,25,100,59.87,51.2,55.2
672,1,5,selective,Glove,IOB2,False,False,25,100,56.48,52.85,54.6
704,2,5,selective,Glove,IOB2,False,False,25,100,63.82,47.51,54.47
736,3,5,selective,Glove,IOB2,False,False,25,100,57.15,51.74,54.31
768,4,5,selective,Glove,IOB2,False,False,25,100,57.34,55.18,56.24
800,5,5,selective,Glove,IOB2,False,False,25,100,55.82,54.71,55.26
832,6,5,selective,Glove,IOB2,False,False,25,100,58.58,57.3,57.93
864,7,5,selective,Glove,IOB2,False,False,25,100,55.5,55.15,55.32
896,8,5,selective,Glove,IOB2,False,False,25,100,59.2,53.89,56.42
928,9,5,selective,Glove,IOB2,False,False,25,100,60.01,53.75,56.71
641,0,5,selective,Glove,IOB2,False,False,25,200,62.64,45.68,52.83
673,1,5,selective,Glove,IOB2,False,False,25,200,57.49,52.03,54.62
705,2,5,selective,Glove,IOB2,False,False,25,200,59.95,51.42,55.36
737,3,5,selective,Glove,IOB2,False,False,25,200,55.91,52.71,54.26
769,4,5,selective,Glove,IOB2,False,False,25,200,58.2,52.06,54.96
801,5,5,selective,Glove,IOB2,False,False,25,200,63.44,46.72,53.81
833,6,5,selective,Glove,IOB2,False,False,25,200,56.58,51.31,53.82
897,8,5,selective,Glove,IOB2,False,False,25,200,59.34,49.87,54.2
929,9,5,selective,Glove,IOB2,False,False,25,200,58.5,47.62,52.5
642,0,5,selective,Glove,IOB2,False,False,50,100,57.35,54.54,55.91
